,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,nu,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.578684408,0.002630713,0.000989654,0.008024234,0.006409666,0.00087,10000,10000,0,0.0025,0.15,1.00E-05,0.002302333,0.0489758,4.032569408,16.724035,0.001875103,0.002044908,0.002123084,0.002290487,0.002493235,0.002656767,0.005483669,aaE10000C10000D0.25dRatio0.7Case,184000,TRUE
0,0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.0015,1000,5000,0,0.005,0.15,1.00E-05,0.00019029,0.073986195,2.887807608,8.419951039,0.00372012,0.004039494,0.004220416,0.004689509,0.005414968,0.00616593,0.014841611,aaE5000C1000D0.5dRatio0.6Case,449000,TRUE
0,0.578684408,0.002630713,0.000989654,0.008024234,0.006409666,0.00087,5000,300000,0,0.0025,0.15,1.00E-05,0.000537426,0.046735536,4.069657803,17.26020197,0.002109564,0.002278026,0.002355737,0.002546301,0.002801277,0.003021917,0.007211621,aaE300000C5000D0.25dRatio0.7Case,216000,TRUE
0,0.578684408,0.002630713,0.000989654,0.008024234,0.006409666,0.00062,5000,100000,0,0.0025,0.15,1.00E-05,0.06825392,0.17358515,1.458381772,1.440193081,0.001516347,0.001739981,0.001886235,0.002371279,0.003154947,0.003791075,0.008747105,aaE100000C5000D0.25dRatio0.5Case,260000,FALSE
0,0.578684408,0.002630713,0.000989654,0.008024234,0.006409666,0.00075,10000,300000,0,0.0025,0.15,1.00E-05,0.000573702,0.06187215,3.433779716,11.84682646,0.001785302,0.00190269,0.001966092,0.002124186,0.002342692,0.002539091,0.005866199,aaE300000C10000D0.25dRatio0.6Case,160000,TRUE
0,0.578684408,0.002630713,0.000989654,0.008024234,0.006409666,0.001,1000,50000,0,0.0025,0.15,1.00E-05,0.000439163,0.06812172,2.960677624,9.172553386,0.002762293,0.003027198,0.003189512,0.003642337,0.004405628,0.005185601,0.013294723,aaE50000C1000D0.25dRatio0.8Case,430000,TRUE
0,0.578684408,0.002630713,0.000989654,0.008024234,0.006409666,0.00075,5000,100,0,0.0025,0.15,1.00E-05,0.001352553,0.093249954,2.615864515,6.689681134,0.001832463,0.001974205,0.002055803,0.002274317,0.002617637,0.002981791,0.007971859,aaE100C5000D0.25dRatio0.6Case,223000,TRUE
0,0.578684408,0.002630713,0.000989654,0.008024234,0.006409666,0.001,1000,5000,0,0.0025,0.15,1.00E-05,0.000781399,0.06638499,3.238819838,11.66149252,0.002745373,0.0030111,0.003167899,0.003589706,0.004244248,0.004904751,0.012901906,aaE5000C1000D0.25dRatio0.8Case,444000,TRUE
0,0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.00175,1000,5000,0,0.005,0.15,1.00E-05,0.000330334,0.043946084,4.12457037,18.26123823,0.004348636,0.004715828,0.004892934,0.005333758,0.005928058,0.006442342,0.014161278,aaE5000C1000D0.5dRatio0.7Case,385000,TRUE
0,0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.002,10000,10000,0,0.005,0.15,1.00E-05,0.001889274,0.022899225,4.385673046,22.71631303,0.004168739,0.004331969,0.00443314,0.004688783,0.004989577,0.005205861,0.007188926,aaE10000C10000D0.5dRatio0.8Case,416000,TRUE
