,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,nu,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.00075,1000,1000,0,0.005,0.15,1.00E-05,0.26198882,0.31346744,0.842857182,0.179886285,0.006650007,0.008946357,0.009865282,0.011743427,0.013665836,0.014994678,0.024886042,aaE1000C1000D0.5dRatio0.3Case,500000,FALSE
0,0.578684408,0.002630713,0.000989654,0.008024234,0.006409666,0.00037,10000,10000,0,0.0025,0.15,1.00E-05,0.18029043,0.25914827,0.996800601,0.187020077,0.001143689,0.001456894,0.001640645,0.002111984,0.002703091,0.003146151,0.006815916,aaE10000C10000D0.25dRatio0.3Case,238000,FALSE
0,0.578684408,0.002630713,0.000989654,0.008024234,0.006409666,0.00037,5000,5000,0,0.0025,0.15,1.00E-05,0.17331696,0.2496109,1.071908236,0.467381832,0.001389395,0.001963877,0.002285358,0.003020996,0.003843864,0.004422471,0.008986257,aaE5000C5000D0.25dRatio0.3Case,352000,FALSE
0,0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.0005,5000,100000,0,0.005,0.15,1.00E-05,0.21435976,0.284141,0.912262797,0.101051924,0.002023368,0.002715978,0.003060883,0.003826027,0.004702623,0.005326899,0.010155939,aaE100000C5000D0.5dRatio0.2Case,336000,FALSE
0,0.578684408,0.002630713,0.000989654,0.008024234,0.006409666,0.0005,5000,100000,0,0.0025,0.15,1.00E-05,0.12689742,0.21622032,1.177881598,0.587284243,0.001387614,0.00176002,0.002009495,0.002698731,0.003558643,0.004183779,0.008888767,aaE100000C5000D0.25dRatio0.4Case,303000,FALSE
0,0.578684408,0.002630713,0.000989654,0.008024234,0.006409666,0.0005,1000,1000,0,0.0025,0.15,1.00E-05,0.18014526,0.24374197,1.094478726,0.707214999,0.004128062,0.006452913,0.007460755,0.009396168,0.011253914,0.012494974,0.021605366,aaE1000C1000D0.25dRatio0.4Case,500000,FALSE
0,0.578684408,0.002630713,0.000989654,0.008024234,0.006409666,0.00025,10000,10000,0,0.0025,0.15,1.00E-05,0.19288188,0.26825446,0.978564739,0.152542783,0.000940359,0.001375973,0.001608689,0.002146597,0.002755925,0.003193119,0.006786746,aaE10000C10000D0.25dRatio0.2Case,246000,FALSE
0,0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.001,1000,50000,0,0.005,0.15,1.00E-05,0.25066096,0.30806935,0.843480408,0.262697893,0.006708558,0.009058881,0.01006578,0.012127675,0.014253819,0.015629669,0.026009631,aaE50000C1000D0.5dRatio0.4Case,500000,FALSE
0,0.578684408,0.002630713,0.000989654,0.008024234,0.006409666,0.00037,10000,100000,0,0.0025,0.15,1.00E-05,0.16805829,0.24852484,1.040747046,0.299175296,0.001102586,0.001395434,0.001569272,0.002025714,0.002616034,0.003061903,0.006714741,aaE100000C10000D0.25dRatio0.3Case,234000,FALSE
0,0.578684408,0.002630713,0.000989654,0.008024234,0.006409666,0.0005,5000,5000,0,0.0025,0.15,1.00E-05,0.13492587,0.221383,1.164430737,0.630120119,0.001401032,0.001792313,0.002048,0.002726067,0.003564046,0.004158987,0.00878245,aaE5000C5000D0.25dRatio0.4Case,331000,FALSE
0,0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.0005,1000,50000,0,0.005,0.15,1.00E-05,0.21673115,0.28400078,0.943729877,0.21837205,0.005545865,0.007738355,0.008637753,0.010514195,0.012445693,0.013746048,0.023286368,aaE50000C1000D0.5dRatio0.2Case,500000,FALSE
