,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,nu,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.428333855,0.007214242,0.0013438,0.008723654,0.006897044,0.00192,12000,0,10000,0.007,0.3,1.00E-05,0.001951987,0.027166424,5.102537155,30.72066059,0.004018227,0.004193298,0.004295666,0.004546453,0.004841778,0.005057679,0.007587573,awE10000C12000D0.7dRatio0.55Case,196000,TRUE
0,0.428333855,0.007214242,0.0013438,0.008723654,0.006897044,0.00087,750,0,100000,0.007,0.3,1.00E-05,0.3292106,0.38556397,0.678635836,-0.202337696,0.009643068,0.012816539,0.014073022,0.016563145,0.019186091,0.020951387,0.034200674,awE100000C750D0.7dRatio0.25Case,500000,FALSE
0,0.533070104,0.004142147,0.000943054,0.008592893,0.006741528,0.0005,750,0,10000,0.004,0.3,1.00E-05,0.23527685,0.30155876,0.974607646,0.431535641,0.00533987,0.008732916,0.010021552,0.012559442,0.014914907,0.016462793,0.027568397,awE10000C750D0.4dRatio0.25Case,500000,FALSE
0,0.428333855,0.007214242,0.0013438,0.008723654,0.006897044,0.00227,750,0,1000,0.007,0.3,1.00E-05,0.000539602,0.046572022,3.92370677,16.38549929,0.005473428,0.005921299,0.006138737,0.006649035,0.007327234,0.007884815,0.015192849,awE1000C750D0.7dRatio0.65Case,401000,TRUE
0,0.533070104,0.004142147,0.000943054,0.008592893,0.006741528,0.0007,12000,0,10000,0.004,0.3,1.00E-05,0.22006178,0.30105266,0.819014192,-0.301417995,0.001751192,0.00203594,0.002191225,0.002598563,0.003153882,0.003596269,0.007238168,awE10000C12000D0.4dRatio0.35Case,203000,FALSE
0,0.428333855,0.007214242,0.0013438,0.008723654,0.006897044,0.00122,3000,0,1000,0.007,0.3,1.00E-05,0.392351,0.42518353,0.45881483,-0.580966528,0.004627122,0.005968796,0.006586792,0.007951202,0.009442802,0.010470107,0.017971161,awE1000C3000D0.7dRatio0.35Case,440000,FALSE
0,0.533070104,0.004142147,0.000943054,0.008592893,0.006741528,0.0009,3000,0,100000,0.004,0.3,1.00E-05,0.22991607,0.3075935,0.797878087,-0.285362413,0.002508193,0.003356069,0.003921798,0.005252781,0.006680711,0.007652073,0.014438429,awE100000C3000D0.4dRatio0.45Case,440000,FALSE
0,0.428333855,0.007214242,0.0013438,0.008723654,0.006897044,0.00122,750,0,100000,0.007,0.3,1.00E-05,0.3821262,0.4184856,0.604587138,-0.265567654,0.01125341,0.01429675,0.015559464,0.018071943,0.02075404,0.022581524,0.035710342,awE100000C750D0.7dRatio0.35Case,500000,FALSE
0,0.533070104,0.004142147,0.000943054,0.008592893,0.006741528,0.0015,3000,0,10000,0.004,0.3,1.00E-05,0.001453361,0.029390099,5.253724575,29.96837336,0.003185819,0.003429215,0.003555983,0.003833988,0.004150105,0.004396422,0.008295657,awE10000C3000D0.4dRatio0.75Case,313000,TRUE
0,0.428333855,0.007214242,0.0013438,0.008723654,0.006897044,0.00122,750,0,1000,0.007,0.3,1.00E-05,0.40023336,0.43445763,0.521688461,-0.34715856,0.011209504,0.014106819,0.015381486,0.017938592,0.020658453,0.022488765,0.036249357,awE1000C750D0.7dRatio0.35Case,500000,FALSE
