,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,nu,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.574246578,0.002427489,0.000751232,0.007581803,0.00614795,0.00035,10500,0,60000,0.00234,0.45,1.00E-05,0.25909388,0.34311858,0.920933664,0.189680581,0.001036473,0.00143765,0.001691631,0.002311003,0.003010166,0.003506396,0.007306479,awE60000C10500D0.234dRatio0.3Case,285000,FALSE
0,0.574246578,0.002427489,0.000751232,0.007581803,0.00614795,0.00035,900,0,650000,0.00234,0.45,1.00E-05,0.014654527,0.049979087,4.776394367,23.78154155,0.001441918,0.00171435,0.001867631,0.002270522,0.002823443,0.003296945,0.008282706,awE650000C900D0.234dRatio0.3Case,462000,FALSE
0,0.574246578,0.002427489,0.000751232,0.007581803,0.00614795,0.00093,10500,0,4000,0.00234,0.45,1.00E-05,0.002820184,0.060409114,3.52508688,12.50768006,0.001999233,0.00219052,0.002281021,0.002474554,0.002709915,0.002904965,0.006178043,awE4000C10500D0.234dRatio0.8Case,170000,TRUE
0,0.574246578,0.002427489,0.000751232,0.007581803,0.00614795,0.0007,900,0,60000,0.00234,0.45,1.00E-05,0.04074987,0.22199008,1.413060784,1.285593609,0.001844625,0.002203922,0.002529768,0.004652286,0.007642054,0.009439459,0.019875335,awE60000C900D0.234dRatio0.6Case,500000,TRUE
0,0.574246578,0.002427489,0.000751232,0.007581803,0.00614795,0.00035,2700,0,650000,0.00234,0.45,1.00E-05,0.015404513,0.07560747,3.403678417,11.7448366,0.001225329,0.00143902,0.001546765,0.001830137,0.002249246,0.00261123,0.006741685,awE650000C2700D0.234dRatio0.3Case,296000,FALSE
0,0.574246578,0.002427489,0.000751232,0.007581803,0.00614795,0.00058,900,0,4000,0.00234,0.45,1.00E-05,0.26512146,0.33013377,0.910716295,0.355414911,0.004499926,0.008157091,0.009451956,0.011769213,0.013983968,0.015442405,0.026001698,awE4000C900D0.234dRatio0.5Case,500000,FALSE
0,0.574246578,0.002427489,0.000751232,0.007581803,0.00614795,0.0007,10500,0,650000,0.00234,0.45,1.00E-05,6.57E-05,0.07049255,3.049720049,8.735969975,0.001690789,0.001800472,0.001863082,0.002023368,0.002252619,0.002460686,0.005356178,awE650000C10500D0.234dRatio0.6Case,144000,TRUE
0,0.574246578,0.002427489,0.000751232,0.007581803,0.00614795,0.00023,2700,0,60000,0.00234,0.45,1.00E-05,0.2290826,0.3253927,1.141659975,0.889635378,0.000787017,0.00164756,0.002467189,0.00419572,0.005803548,0.006828925,0.013435194,awE60000C2700D0.234dRatio0.2Case,500000,FALSE
0,0.574246578,0.002427489,0.000751232,0.007581803,0.00614795,0.00035,2700,0,4000,0.00234,0.45,1.00E-05,0.2608386,0.33317465,0.967364788,0.475061093,0.001418872,0.00287567,0.003644159,0.005151921,0.006592952,0.00753131,0.014088577,awE4000C2700D0.234dRatio0.3Case,500000,FALSE
0,0.574246578,0.002427489,0.000751232,0.007581803,0.00614795,0.00058,2700,0,4000,0.00234,0.45,1.00E-05,0.20556316,0.2924463,0.988301098,0.241938169,0.001606802,0.00240752,0.00307661,0.004584786,0.006085932,0.007068574,0.013738796,awE4000C2700D0.234dRatio0.5Case,467000,FALSE
