,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,nu,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,2245,5000000,5000,0.0012,0.18,1.00E-05,0.307308435,0.548126876,23.35161209,669.2422541,0.008134153,0.010781458,0.012231489,0.015372033,0.018487759,0.020461147,0.035172275,awE5000aaE5000000C2245dRatio0.35Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,2245,5000,50000,0.0012,0.18,1.00E-05,0.320066869,0.461898923,32.27757645,1206.528481,0.004720798,0.007736997,0.008933561,0.011244405,0.013534449,0.015035606,0.02551683,awE50000aaE5000C2245dRatio0.25Case,274000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,2245,5000,5000,0.0012,0.18,1.00E-05,0.0980509,0.211347327,1.500797272,1.836030053,0.000662946,0.001193277,0.001655482,0.002880196,0.004259953,0.005205508,0.011545105,awE5000aaE5000C2245dRatio0.35Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,2245,500000,5000000,0.0012,0.18,1.00E-05,0.490451008,1.100538135,8.202861786,69.42752621,0.01946886,0.021216383,0.022129367,0.024112866,0.026483495,0.028218341,0.044296612,awE5000000aaE500000C2245dRatio0.35Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,8674,5000,5000000,0.0012,0.18,1.00E-05,0.490451008,1.272682667,6.128214836,39.4778878,0.010669427,0.01197476,0.012551729,0.013774318,0.014951233,0.015778091,0.023438209,awE5000000aaE5000C8674dRatio0.35Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,2245,5000,50000,0.0012,0.18,1.00E-05,0.090648875,0.205370963,1.569845557,2.31862353,0.00063899,0.001084712,0.001519817,0.002716939,0.004108358,0.005046586,0.011257895,awE50000aaE5000C2245dRatio0.35Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,2245,5000000,50000,0.0012,0.18,1.00E-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,awE50000aaE5000000C2245dRatio0.25Case,58000,-1
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,8674,5000000,5000000,0.0012,0.18,1.00E-05,0.490451008,1.186247826,6.236299038,40.40823731,0.010564984,0.011962331,0.012547709,0.013688753,0.01494519,0.015806419,0.023057332,awE5000000aaE5000000C8674dRatio0.35Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,2245,500000,5000,0.0012,0.18,1.00E-05,0.03203582,0.17799972,1.840550184,3.969185562,0.000571403,0.00073152,0.0009349,0.001926442,0.003405514,0.004455131,0.011458287,awE5000aaE500000C2245dRatio0.35Case,500000,TRUE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,2245,50000,500000,0.0012,0.18,1.00E-05,0.00125551,0.051109694,3.837968111,15.48120996,0.000660954,0.000778538,0.000844134,0.001031555,0.001349357,0.001655476,0.005795187,awE500000aaE50000C2245dRatio0.35Case,384000,TRUE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,8674,5000,50000,0.0012,0.18,1.00E-05,0.117123246,0.2297481,1.351749301,1.224795712,0.000575558,0.000769806,0.000919383,0.001365753,0.001986968,0.002454332,0.006181563,awE50000aaE5000C8674dRatio0.35Case,343000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,8674,5000,500000,0.0012,0.18,1.00E-05,0.004316686,0.116485626,21.99568367,1147.448906,0.000640988,0.000767862,0.00084197,0.001071833,0.001478669,0.001879383,0.005640123,awE500000aaE5000C8674dRatio0.35Case,250000,TRUE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,8674,500000,50000,0.0012,0.18,1.00E-05,0.085882187,0.249355391,75.02095032,6563.554743,0.000568116,0.000704075,0.00084908,0.001539209,0.002548019,0.003289406,0.008439665,awE50000aaE500000C8674dRatio0.35Case,331000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,2245,50000,500000,0.0012,0.18,1.00E-05,0.000408465,0.092036985,12.24106026,339.8518652,0.001012639,0.001535617,0.001849381,0.002647883,0.00370462,0.004589204,0.011174953,awE500000aaE50000C2245dRatio0.25Case,479000,TRUE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,2245,50000,50000,0.0012,0.18,1.00E-05,0.294250995,0.469696134,30.49497223,986.9750198,0.003387147,0.007059293,0.008369504,0.010816539,0.013207513,0.014766328,0.025693128,awE50000aaE50000C2245dRatio0.25Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,8674,500000,500000,0.0012,0.18,1.00E-05,0.012904793,0.22189787,53.29850006,3209.588575,0.000856475,0.00122115,0.001450391,0.002097662,0.002983246,0.003665737,0.008173749,awE500000aaE500000C8674dRatio0.25Case,237000,TRUE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,8674,5000,5000,0.0012,0.18,1.00E-05,0.372810483,0.535925627,44.08708954,2052.195607,0.003478777,0.005025772,0.005700795,0.007070685,0.008411671,0.009289715,0.016182716,awE5000aaE5000C8674dRatio0.25Case,446000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,8674,50000,50000,0.0012,0.18,1.00E-05,0.371627837,0.490781575,49.43251038,2799.543864,0.002872076,0.004566249,0.005300945,0.006733711,0.008142564,0.009041092,0.015589136,awE50000aaE50000C8674dRatio0.25Case,418000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,2245,500000,500000,0.0012,0.18,1.00E-05,0.000398391,0.097258255,17.60919571,496.4190318,0.000830995,0.001162854,0.001378912,0.00199328,0.002869767,0.003578874,0.009355456,awE500000aaE500000C2245dRatio0.25Case,433000,TRUE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,8674,5000,50000,0.0012,0.18,1.00E-05,0.36880815,0.466944426,65.41827393,4584.198597,0.003168604,0.004826306,0.005533506,0.006958862,0.008345512,0.009263643,0.016036191,awE50000aaE5000C8674dRatio0.25Case,427000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,2245,5000000,5000,0.0012,0.18,1.00E-05,0.392351002,0.592093527,21.04291153,502.120605,0.010499693,0.01281236,0.013850147,0.015962063,0.018380633,0.020120452,0.033942133,awE5000aaE5000000C2245dRatio0.25Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,2245,5000000,50000,0.0012,0.18,1.00E-05,0.317951083,0.554220915,13.80735874,259.2692363,0.008195955,0.01084788,0.012328116,0.015447796,0.018595944,0.020636615,0.03433276,awE50000aaE5000000C2245dRatio0.35Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,2245,5000000,500000,0.0012,0.18,1.00E-05,0.00884035,0.236502573,22.59800911,670.491467,0.005934312,0.007916906,0.008933948,0.011148746,0.013425133,0.014921709,0.024772416,awE500000aaE5000000C2245dRatio0.25Case,500000,TRUE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,8674,5000000,5000,0.0012,0.18,1.00E-05,0.392351002,0.739911437,17.37336159,420.3189867,0.00491117,0.006441199,0.007304058,0.009054184,0.010760754,0.011962826,0.022244185,awE5000aaE5000000C8674dRatio0.35Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,2245,5000,500000,0.0012,0.18,1.00E-05,0.000532359,0.102374509,21.22939873,705.8789615,0.00108349,0.001585939,0.001885683,0.002673062,0.003718105,0.004568281,0.010991568,awE500000aaE5000C2245dRatio0.25Case,475000,TRUE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,2245,5000000,5000000,0.0012,0.18,1.00E-05,0.490451008,1.100538135,8.202861786,69.42752621,0.019330467,0.021630114,0.022610307,0.024512117,0.026672398,0.028324838,0.043986635,awE5000000aaE5000000C2245dRatio0.35Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,8674,500000,5000,0.0012,0.18,1.00E-05,0.392351002,0.480311692,51.0045929,3096.500731,0.003182289,0.004888198,0.005595554,0.00697347,0.008313688,0.009197248,0.016140383,awE5000aaE500000C8674dRatio0.25Case,433000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,2245,50000,5000000,0.0012,0.18,1.00E-05,0.490451008,1.017885089,13.4771595,182.0220765,0.018778022,0.020927042,0.021974592,0.024108351,0.026411136,0.028069566,0.045164845,awE5000000aaE50000C2245dRatio0.25Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,8674,50000,5000,0.0012,0.18,1.00E-05,0.391689569,0.59019196,36.84992981,1555.397244,0.003266442,0.004962771,0.005656741,0.007032033,0.008389225,0.009271364,0.016145186,awE5000aaE50000C8674dRatio0.25Case,435000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,2245,5000000,5000000,0.0012,0.18,1.00E-05,0.490451008,1.017885089,13.4771595,182.0220765,0.019172019,0.02133377,0.022293431,0.024168856,0.026497085,0.028161126,0.043647006,awE5000000aaE5000000C2245dRatio0.25Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,2245,500000,5000000,0.0012,0.18,1.00E-05,0.490451008,1.017885089,13.4771595,182.0220765,0.019128674,0.021322026,0.022428505,0.024346926,0.026394022,0.027973598,0.045267053,awE5000000aaE500000C2245dRatio0.25Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,8674,500000,500000,0.0012,0.18,1.00E-05,0.00826092,0.147764817,2.273699999,9.938120998,0.000732649,0.000995262,0.001171082,0.001707615,0.002514042,0.003181609,0.007886818,awE500000aaE500000C8674dRatio0.35Case,253000,TRUE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,8674,5000000,50000,0.0012,0.18,1.00E-05,0.392351002,0.777391553,19.82667351,537.8168602,0.004919454,0.006610396,0.007492391,0.009246123,0.011001518,0.012252713,0.022230249,awE50000aaE5000000C8674dRatio0.35Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,8674,500000,5000000,0.0012,0.18,1.00E-05,0.490451008,0.778186679,18.12255669,337.433673,0.011184767,0.012492723,0.01301863,0.014127467,0.015300152,0.016131747,0.022841661,awE5000000aaE500000C8674dRatio0.25Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,2245,500000,50000,0.0012,0.18,1.00E-05,0.024223648,0.175145596,2.201159716,9.413633345,0.000585461,0.000761596,0.000972221,0.001972006,0.003445243,0.004493446,0.011396293,awE50000aaE500000C2245dRatio0.35Case,500000,TRUE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00021,8674,50000,5000000,0.0012,0.18,1.00E-05,0.490451008,1.30300808,6.524642944,46.6421858,0.010544472,0.011916855,0.012477528,0.013666263,0.014933624,0.015752347,0.024099547,awE5000000aaE50000C8674dRatio0.35Case,500000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,2245,50000,5000,0.0012,0.18,1.00E-05,0.34365198,0.735356927,29.31557465,894.6350542,0.005590851,0.008658985,0.009816684,0.012078313,0.014295423,0.01574768,0.026465365,awE5000aaE50000C2245dRatio0.25Case,193000,FALSE
0,0.619828086,0.00134448,0.001333802,0.009097544,0.006917296,0.00015,2245,500000,5000,0.0012,0.18,1.00E-05,0.385276318,0.479840666,18.51255798,494.7875787,0.006702765,0.009636542,0.010756737,0.012859326,0.014910744,0.01624872,0.026241434,awE5000aaE500000C2245dRatio0.25Case,150000,FALSE
