,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,nu,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.590945397,0.001619166,0.001236594,0.007622124,0.006017987,0.00047,300,0,0,0.00262,0.075,1.00E-05,0.121643238,0.189610496,1.427107692,1.75332317,0.009714314,0.01295174,0.014290906,0.017015054,0.019849886,0.021714132,0.035091499,U0.075C300TRatio1.75dRatio0.63Case,500000,FALSE
0,0.590945397,0.001619166,0.001236594,0.007622124,0.006017987,0.00041,9900,0,0,0.00262,0.66,1.00E-05,0.263115704,0.376202673,1.199652553,1.131734738,0.001064309,0.001400103,0.00165291,0.002322653,0.003099578,0.00364861,0.007731395,U0.66C9900TRatio1.75dRatio0.55Case,277000,FALSE
0,0.590945397,0.001619166,0.001236594,0.007622124,0.006017987,0.00047,1000,0,0,0.00112,0.22,1.00E-05,0.127093568,0.214416102,1.222918153,0.764307355,0.001546668,0.003074748,0.004350577,0.006831955,0.009051073,0.010431142,0.019539043,U0.22C1000TRatio0.75dRatio0.63Case,500000,FALSE
0,0.590945397,0.001619166,0.001236594,0.007622124,0.006017987,0.00041,1000,0,0,0.00187,1.5,1.00E-05,0.653457761,0.788333774,1.495562673,2.797917241,0.011702345,0.014593716,0.01582031,0.018316637,0.021028368,0.022809241,0.036044383,U1.5C1000TRatio1.25dRatio0.55Case,301000,FALSE
0,0.590945397,0.001619166,0.001236594,0.007622124,0.006017987,0.00047,1000,0,0,0.00187,0.075,1.00E-05,0.032456368,0.124122448,1.929303885,3.506564198,0.001233874,0.001651566,0.002083349,0.003635613,0.00556976,0.006849692,0.014884623,U0.075C1000TRatio1.25dRatio0.63Case,500000,FALSE
0,0.590945397,0.001619166,0.001236594,0.007622124,0.006017987,0.00047,9900,0,0,0.0015,0.22,1.00E-05,0.018564235,0.134371474,2.02759552,3.541235314,0.001201748,0.00130552,0.001370127,0.001550534,0.00185435,0.002168172,0.005761169,U0.22C9900TRatio1dRatio0.63Case,187000,TRUE
0,0.590945397,0.001619166,0.001236594,0.007622124,0.006017987,0.00041,300,0,0,0.00262,1.5,1.00E-05,0.556713104,0.685320437,1.623843074,3.290195461,0.019475066,0.025406522,0.027866976,0.032570095,0.037285836,0.040555651,0.060680662,U1.5C300TRatio1.75dRatio0.55Case,500000,FALSE
0,0.590945397,0.001619166,0.001236594,0.007622124,0.006017987,0.00047,9900,0,0,0.00187,1.5,1.00E-05,0.126858458,0.413126737,2.204247952,5.989972769,0.001142866,0.001293667,0.001397276,0.001780436,0.002488727,0.003090675,0.007547419,U1.5C9900TRatio1.25dRatio0.63Case,308000,FALSE
0,0.590945397,0.001619166,0.001236594,0.007622124,0.006017987,0.00047,1000,0,0,0.00187,1.5,1.00E-05,0.588550985,0.71304214,1.422719836,2.860815194,0.008382553,0.012802791,0.014347073,0.017173125,0.019867695,0.02164319,0.034270947,U1.5C1000TRatio1.25dRatio0.63Case,500000,FALSE
0,0.590945397,0.001619166,0.001236594,0.007622124,0.006017987,0.00047,300,0,0,0.0015,0.22,1.00E-05,0.153887868,0.230013043,1.156475782,0.792921752,0.007918387,0.013500161,0.015467362,0.018989934,0.022263338,0.024451947,0.039504527,U0.22C300TRatio1dRatio0.63Case,500000,FALSE
0,0.590945397,0.001619166,0.001236594,0.007622124,0.006017987,0.00047,3300,0,0,0.00262,0.22,1.00E-05,0.08960028,0.190359578,1.396802545,1.2573014,0.001136811,0.001415308,0.001669006,0.002509298,0.003599971,0.004376752,0.00985009,U0.22C3300TRatio1.75dRatio0.63Case,382000,FALSE
