,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00156,1000,0,0,0.0025,0.01,0.00047788,0.01271144,8.30020237,75.33283713,0.003220348,0.003375806,0.003467821,0.003683737,0.003925163,0.004096658,0.006288501,R1D0.25d.3125Case,500000,TRUE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00016,1000,0,0,0.001,0.01,0.08587676,0.20048058,1.924474239,5.784640939,0.001627932,0.004484938,0.005960752,0.008759301,0.011396885,0.013058535,0.023642147,R0.5D0.1d.033Case,500000,FALSE
0,0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.00187,1000,0,0,0.005,0.01,0.000610896,0.028721139,5.622772217,34.67430907,0.004417297,0.004827411,0.005001049,0.005392542,0.005893637,0.006295838,0.012246149,R0.5D0.5d.375Case,370000,TRUE
0,0.547717562,0.005352062,0.002037318,0.010647855,0.008185806,0.00125,1000,0,0,0.005,0.01,0.29633263,0.32727098,0.536965191,-0.486133481,0.004227838,0.006962433,0.008264542,0.010816576,0.013327647,0.014935022,0.025831922,R1D0.5d.25Case,500000,FALSE
0,0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.00312,1000,0,0,0.005,0.01,0.001361074,0.010507578,7.169431686,64.41856421,0.006509579,0.006782452,0.006936633,0.007314305,0.007750862,0.008067817,0.010952947,R0.5D0.5d.625Case,500000,TRUE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.0005,1000,0,0,0.001,0.01,0.00054053,0.07784562,2.590469122,6.511440429,0.001401311,0.001583338,0.001696753,0.002071606,0.003060047,0.004174773,0.012294485,R0.5D0.1d.1Case,500000,TRUE
0,0.477321349,0.00517395,0.001522441,0.007411181,0.006130611,0.00165,1000,0,0,0.005,0.01,0.00029094,0.06352116,3.118698359,10.14757107,0.004289627,0.004644746,0.004840681,0.005369419,0.006143196,0.0068685,0.015670771,R0.1D0.5d.330Case,391000,TRUE
0,0.621722944,0.00106842,0.000649468,0.007504136,0.006019349,0.00025,1000,0,0,0.001,0.01,0.06957594,0.1591996,1.548297763,1.947844601,0.00094424,0.002283589,0.003254957,0.005310261,0.007300306,0.008558568,0.016799662,R0.1D0.1d.05Case,500000,FALSE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00082,1000,0,0,0.0025,0.01,0.000899135,0.10526919,2.22486639,4.43303091,0.002161618,0.002386526,0.002523242,0.00294456,0.003846905,0.004903478,0.013318484,R1D0.25d.1650Case,500000,TRUE
0,0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00156,1000,0,0,0.0025,0.01,0.000675661,0.012919224,8.515171051,80.17655357,0.003238064,0.003394199,0.003484245,0.003694431,0.003933363,0.004104562,0.006330563,R0.5D0.25d.3125Case,500000,TRUE
0,0.574322119,0.00262056,0.000983163,0.007460752,0.006092333,0.00125,1000,0,0,0.0025,0.01,0.000438581,0.033592172,5.018717289,27.48176708,0.003326603,0.003591242,0.003731107,0.004099089,0.004606242,0.005063843,0.012365745,R0.1D0.25d.25Case,400000,TRUE
0,0.678587362,0.001338123,0.00238272,0.011168126,0.008227126,0.00025,1000,0,0,0.001,0.01,0.07840663,0.18617654,1.462813139,1.554857836,0.000867302,0.001891726,0.002727086,0.004657968,0.006648349,0.007962129,0.016448371,R1D0.1d.05Case,500000,FALSE
0,0.574322119,0.00262056,0.000983163,0.007460752,0.006092333,0.00031,1000,0,0,0.0025,0.01,0.117828846,0.1944202,1.41009891,1.527436204,0.001701623,0.003985772,0.005031236,0.007126881,0.009143419,0.010438862,0.019009747,R0.1D0.25d.0625Case,500000,FALSE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00012,1000,0,0,0.001,0.01,0.392351,0.6862275,11.72310829,158.8282094,0.018753025,0.022050258,0.023198958,0.026210581,0.029294148,0.031162883,0.047626932,R0.5D0.1d.025Case,500000,FALSE
