,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,nu,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00033,1000,0,0,0.001,0.01,1.00E-05,0.006615117,0.113562539,2.020936012,3.713969908,0.000917702,0.001111515,0.001289789,0.00239017,0.004389691,0.005728135,0.013944764,C1000D0.1d.066Case,500000,TRUE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00033,500,0,0,0.001,0.01,1.00E-05,0.007664771,0.113968611,2.1561203,4.672476619,0.000974596,0.00129799,0.001801369,0.004823213,0.008090614,0.010078891,0.021523702,C500D0.1d.066Case,500000,TRUE
0,0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00062,5000,0,0,0.0025,0.01,1.00E-05,0.063868433,0.16626583,1.524940968,1.751229074,0.001506042,0.001725315,0.001869425,0.002324115,0.00305922,0.003660349,0.008486709,C5000D0.25d.125Case,259000,FALSE
0,0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.00125,10000,0,0,0.005,0.01,1.00E-05,0.019592699,0.11076621,2.245978117,4.581011942,0.002790563,0.002970177,0.003073315,0.00333618,0.003716629,0.004081901,0.008069518,C10000D0.5d.25Case,150000,TRUE
0,0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.00165,100,0,0,0.005,0.01,1.00E-05,0.238031194,0.303342938,0.879305899,0.213322685,0.016695675,0.028636693,0.032094137,0.038445494,0.044295127,0.04840714,0.073954676,C100D0.5d.330Case,500000,FALSE
0,0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.00082,2500,0,0,0.005,0.01,1.00E-05,0.255981624,0.310529172,0.773861051,-0.081772928,0.003187689,0.004331873,0.004902965,0.006127728,0.007462398,0.008373393,0.015165638,C2500D0.5d.165Case,463000,FALSE
0,0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00082,500,0,0,0.0025,0.01,1.00E-05,0.003827976,0.115460463,2.055822372,4.191890888,0.002240522,0.002633993,0.002935211,0.004563842,0.007800835,0.009911945,0.022074929,C500D0.25d.1650Case,500000,TRUE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00025,2500,0,0,0.001,0.01,1.00E-05,0.032142345,0.136074364,1.804116607,2.821621993,0.000636995,0.000830745,0.001033717,0.001819254,0.002938796,0.003736742,0.009431624,C2500D0.1d.05Case,438000,FALSE
0,0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.00125,5000,0,0,0.005,0.01,1.00E-05,0.03263697,0.146162793,1.694200397,2.232152183,0.002898753,0.003134044,0.003276944,0.003684623,0.004363586,0.004979985,0.010207566,C5000D0.5d.25Case,215000,FALSE
0,0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00125,1000,0,0,0.0025,0.01,1.00E-05,0.0008923,0.032927249,4.889157295,26.00056621,0.003293891,0.00352965,0.003660359,0.004021737,0.004533163,0.004989478,0.012170316,C1000D0.25d.25Case,387000,TRUE
0,0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00125,100,0,0,0.0025,0.01,1.00E-05,0.001513406,0.110769629,2.073382854,4.20874452,0.004601905,0.009664568,0.012958748,0.019326573,0.024990937,0.028417291,0.050622993,C100D0.25d.25Case,500000,TRUE
0,0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00082,10000,0,0,0.0025,0.01,1.00E-05,0.001367671,0.063068129,3.36232233,11.34759497,0.001897049,0.002059371,0.002131202,0.002304371,0.002538521,0.002744169,0.006021545,C10000D0.25d.1650Case,164000,TRUE
0,0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00125,2500,0,0,0.0025,0.01,1.00E-05,0.00094955,0.034444191,4.901638985,26.03411324,0.002767658,0.003052276,0.003167854,0.003421848,0.003737518,0.003990589,0.008586921,C2500D0.25d.25Case,293000,TRUE
0,0.409200208,0.007846769,0.002255692,0.008652199,0.006644099,0.00123,2500,0,0,0.0075,0.01,1.00E-05,0.356901437,0.391612917,0.537923157,-0.435703244,0.004880481,0.006138384,0.006763019,0.00814535,0.009695892,0.010764277,0.018461963,C2500D0.75d.2475Case,472000,FALSE
0,0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.00165,2500,0,0,0.005,0.01,1.00E-05,0.000979609,0.031932209,4.985329628,26.75826123,0.003574618,0.003874344,0.004008682,0.004304449,0.004654269,0.004929065,0.009394992,C2500D0.5d.330Case,292000,TRUE
0,0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.0025,100,0,0,0.005,0.01,1.00E-05,0.003343729,0.116426401,2.183564186,4.518692695,0.008716295,0.011854331,0.014086914,0.01974257,0.025374909,0.029188107,0.052846577,C100D0.5d.5Case,500000,TRUE
0,0.564020022,0.002660207,0.001157669,0.008335347,0.006310623,0.00041,100,0,0,0.0025,0.01,1.00E-05,0.151988387,0.216760993,1.067192793,0.408714371,0.020859939,0.027088337,0.02959017,0.034428296,0.039230161,0.042516162,0.064372964,C100D0.25d.0825Case,500000,FALSE
0,0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.00082,1000,0,0,0.005,0.01,1.00E-05,0.241466075,0.301761061,0.949402869,0.362018183,0.006083835,0.008443059,0.009455338,0.011434421,0.013458219,0.014823141,0.024666521,C1000D0.5d.165Case,500000,FALSE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.0005,500,0,0,0.001,0.01,1.00E-05,0.001078991,0.087222628,2.491085768,6.370208717,0.001504736,0.001856027,0.002147681,0.003734974,0.006454437,0.008265841,0.019561783,C500D0.1d.1Case,500000,TRUE
