,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,nu,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00125,1000,0,0,0.01,0.01,1.00E-05,0.001784968,0.11371915,2.120794773,4.136280405,0.00285031,0.003164734,0.003333359,0.003808186,0.004718482,0.005715092,0.014140622,T1D0.25d0.25Case,500000,TRUE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00125,1000,0,0,0.0025,0.01,1.00E-05,0.000332216,0.029120786,5.479932308,32.82056008,0.003404276,0.003643175,0.00378404,0.004159089,0.004658622,0.005084341,0.011792495,T0.25D0.25d0.25Case,376000,TRUE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.001,1000,0,0,0.01,0.01,1.00E-05,0.20455769,0.2611297,1.040617347,0.733826245,0.004005602,0.006166681,0.007059596,0.008848311,0.010748896,0.012049831,0.021717853,T1D0.25d0.2Case,500000,FALSE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00075,1000,0,0,0.01,0.01,1.00E-05,0.17991546,0.24346896,1.2264539,1.217338578,0.003549825,0.005680826,0.006579147,0.008385399,0.010208157,0.011446357,0.020604427,T1D0.25d0.15Case,500000,FALSE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.001,1000,0,0,0.0025,0.01,1.00E-05,0.000147484,0.06694971,3.05349493,9.324397046,0.002731911,0.002974297,0.003120649,0.003521484,0.004189062,0.004917788,0.013268742,T0.25D0.25d0.2Case,458000,TRUE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00125,1000,0,0,0.0075,0.01,1.00E-05,0.003883126,0.12290163,2.011658669,3.631944289,0.002899092,0.003215561,0.003393297,0.003907398,0.004968496,0.005990148,0.014362882,T0.75D0.25d0.25Case,500000,TRUE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00125,1000,0,0,0.005,0.01,1.00E-05,0.000335047,0.063504696,3.193269253,10.51038299,0.002922315,0.003167249,0.003297661,0.003655332,0.004271338,0.004973671,0.013440766,T0.5D0.25d0.25Case,459000,TRUE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00075,1000,0,0,0.0075,0.01,1.00E-05,0.18587413,0.24863045,1.151178479,0.922807404,0.003242832,0.00535232,0.006252656,0.008113036,0.010031192,0.011325788,0.02030401,T0.75D0.25d0.15Case,500000,FALSE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00075,1000,0,0,0.0025,0.01,1.00E-05,0.001838157,0.13336557,1.772411346,2.369736986,0.001896591,0.002117438,0.002262111,0.0027775,0.004303255,0.005728033,0.015194468,T0.25D0.25d0.15Case,500000,TRUE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.001,1000,0,0,0.005,0.01,1.00E-05,0.14498627,0.22141242,1.101072311,0.515891054,0.00257538,0.003272111,0.003952096,0.00599339,0.008249923,0.009679252,0.019011623,T0.5D0.25d0.2Case,500000,FALSE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.00075,1000,0,0,0.005,0.01,1.00E-05,0.18509129,0.2496522,1.165256977,0.924585697,0.00291516,0.005057605,0.006045059,0.008042548,0.010090448,0.011482719,0.021230085,T0.5D0.25d0.15Case,500000,FALSE
0,0.659902283,0.002754892,0.001500247,0.010566679,0.008122695,0.001,1000,0,0,0.0075,0.01,1.00E-05,0.19701555,0.2525622,1.016279459,0.58083862,0.003180651,0.005077283,0.006098585,0.008219953,0.010373833,0.011794759,0.021531029,T0.75D0.25d0.2Case,500000,FALSE
