,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,nu,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.477248417,0.005182089,0.001137249,0.007654266,0.006317022,0.00082,2000,0,0,0.0075,0.01,1.00E-05,0.269115031,0.325202912,0.891924381,0.274337475,0.004600685,0.005966543,0.006593621,0.007911426,0.009336661,0.010339361,0.017630189,C2000D0.5d.165T.75Case,500000,FALSE
0,0.565284463,0.002616109,0.000846174,0.007562294,0.006082574,0.00082,500,0,0,0.00625,0.01,1.00E-05,0.173407257,0.230862752,1.194179893,1.172077269,0.007692392,0.010734327,0.011996341,0.014440118,0.016898846,0.018546924,0.030101781,C500D0.25d.1650T.625Case,500000,FALSE
0,0.565284463,0.002616109,0.000846174,0.007562294,0.006082574,0.00062,4000,0,0,0.005,0.01,1.00E-05,0.099207863,0.187974587,1.403452516,1.391395447,0.001539754,0.001873677,0.00210924,0.002808081,0.003737476,0.00441619,0.009369342,C4000D0.25d.125T.50Case,352000,FALSE
0,0.565284463,0.002616109,0.000846174,0.007562294,0.006082574,0.00041,4000,0,0,0.005,0.01,1.00E-05,0.155614644,0.228682891,1.27846241,1.228714761,0.00181627,0.002470266,0.002798676,0.003543289,0.004404309,0.00502383,0.009759132,C4000D0.25d.0825T.50Case,366000,FALSE
0,0.631286717,0.001105684,0.000898426,0.007603902,0.006070986,0.00033,4000,0,0,0.0025,0.01,1.00E-05,0.066717088,0.154476941,1.687873006,2.500667742,0.000826397,0.001053404,0.001229182,0.001785238,0.002586464,0.003195473,0.007914542,C4000D0.1d.066T.25Case,354000,FALSE
0,0.477248417,0.005182089,0.001137249,0.007654266,0.006317022,0.00165,4000,0,0,0.0125,0.01,1.00E-05,0.016065758,0.127709389,2.054329634,3.971407189,0.003645975,0.003939298,0.004101211,0.004509156,0.005108095,0.005653798,0.01079594,C4000D0.5d.330T1.25Case,293000,TRUE
0,0.631286717,0.001105684,0.000898426,0.007603902,0.006070986,0.00033,250,0,0,0.002,0.01,1.00E-05,0.027052004,0.132132724,1.973172426,3.896646713,0.001195377,0.005308067,0.007710778,0.01192951,0.015651542,0.017974749,0.03185356,C250D0.1d.066T.2Case,500000,FALSE
0,0.390002639,0.007709131,0.001499305,0.00792409,0.006441565,0.00375,2000,0,0,0.015,0.01,1.00E-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,C2000D0.75d.75T1.50Case,12000,-1
0,0.390002639,0.007709131,0.001499305,0.00792409,0.006441565,0.00247,250,0,0,0.01875,0.01,1.00E-05,0.334033728,0.385684311,0.865105689,0.304824779,0.021180694,0.025376567,0.027352821,0.031250548,0.035395831,0.038480651,0.060294015,C250D0.75d.4950T1.875Case,500000,FALSE
0,0.631286717,0.001105684,0.000898426,0.007603902,0.006070986,0.0005,250,0,0,0.002,0.01,1.00E-05,0.000632728,0.098858133,2.368363142,5.880367276,0.001444809,0.002511217,0.004132905,0.008057599,0.011742477,0.013979659,0.027645693,C250D0.1d.1T.2Case,500000,TRUE
0,0.565284463,0.002616109,0.000846174,0.007562294,0.006082574,0.00041,4000,0,0,0.00375,0.01,1.00E-05,0.151422828,0.223760128,1.238237143,1.038931147,0.001613938,0.002203457,0.002520946,0.003275816,0.004158067,0.00478714,0.009648981,C4000D0.25d.0825T.375Case,372000,FALSE
0,0.565284463,0.002616109,0.000846174,0.007562294,0.006082574,0.00125,500,0,0,0.005,0.01,1.00E-05,0.002851499,0.106216118,2.13855505,4.37620732,0.003140155,0.003603867,0.003947118,0.005215508,0.007283239,0.008852633,0.019718051,C500D0.25d.25T.50Case,500000,TRUE
0,0.631286717,0.001105684,0.000898426,0.007603902,0.006070986,0.0005,2000,0,0,0.002,0.01,1.00E-05,0.001670802,0.079678476,2.675988436,7.304651857,0.001169066,0.001286838,0.00135627,0.00157605,0.002086669,0.002731504,0.008991074,C2000D0.1d.1T.2Case,387000,TRUE
0,0.390002639,0.007709131,0.001499305,0.00792409,0.006441565,0.00375,2000,0,0,0.01875,0.01,1.00E-05,0.002705274,0.029906223,3.889016151,18.05832042,0.007959593,0.008392257,0.008622795,0.009160452,0.00976973,0.010216179,0.015502461,C2000D0.75d.75T1.875Case,431000,TRUE
0,0.390002639,0.007709131,0.001499305,0.00792409,0.006441565,0.00187,250,0,0,0.01125,0.01,1.00E-05,0.384412885,0.412755221,0.580272496,-0.260298087,0.024782285,0.028652929,0.030393814,0.034049512,0.038056814,0.040909015,0.060678201,C250D0.75d.375T1.125Case,500000,FALSE
