,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,nu,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.552019397,0.003084299,0.000700388,0.007448597,0.006121218,0.00112,1000,0,0,0.003,0.15,1.00E-05,0.00015251,0.059878543,3.309102535,11.56877211,0.003042261,0.003322993,0.003489218,0.003963177,0.004721849,0.00547917,0.013606749,U0.15R0.05dRatio0.75Case,444000,TRUE
0,0.55993711,0.003122131,0.001179863,0.007517289,0.006162318,0.00082,1000,0,0,0.003,1.2,1.00E-05,0.594979405,0.677958548,0.643850684,-0.088493014,0.008659759,0.013457697,0.0150556,0.018010235,0.020790447,0.022625966,0.036580511,U1.2R0.15dRatio0.55Case,500000,FALSE
0,0.647791265,0.003541811,0.00340988,0.014642073,0.009931224,0.00082,1000,0,0,0.003,0.15,1.00E-05,0.037632082,0.169587046,1.664037943,2.066599745,0.001978055,0.002288957,0.002528246,0.003576833,0.005610608,0.007143043,0.016827873,U0.15R1.5dRatio0.55Case,500000,FALSE
0,0.558737285,0.003130137,0.000884223,0.00748849,0.006116417,0.00067,1000,0,0,0.003,0.6,1.00E-05,0.302975953,0.373059243,0.821552992,0.070380403,0.004639917,0.008388148,0.00976563,0.012223685,0.014540594,0.016016557,0.026359084,U0.6R0.075dRatio0.45Case,500000,FALSE
0,0.568116022,0.003202343,0.001418499,0.009137983,0.006960162,0.00067,1000,0,0,0.003,0.15,1.00E-05,0.193869635,0.25771004,0.973596275,0.200441761,0.004222364,0.006466602,0.00748309,0.009513569,0.011540054,0.012880737,0.022424226,U0.15R0.7dRatio0.45Case,500000,FALSE
0,0.558737285,0.003130137,0.000884223,0.00748849,0.006116417,0.00067,1000,0,0,0.003,0.15,1.00E-05,0.196151003,0.251736015,1.016069889,0.470155264,0.004783825,0.007101576,0.008068258,0.010015231,0.011928901,0.013179915,0.022296992,U0.15R0.075dRatio0.45Case,500000,FALSE
0,0.568116022,0.003202343,0.001418499,0.009137983,0.006960162,0.00097,1000,0,0,0.003,0.3,1.00E-05,0.001202024,0.111613996,2.274188519,4.673396035,0.002536663,0.002794963,0.002961916,0.00346309,0.004506471,0.005658197,0.014380055,U0.3R0.7dRatio0.65Case,490000,TRUE
0,0.647791265,0.003541811,0.00340988,0.014642073,0.009931224,0.00067,1000,0,0,0.003,0.6,1.00E-05,0.392351002,0.493413419,0.972407699,0.608646838,0.004022839,0.007356761,0.008843144,0.01179722,0.014578573,0.016366803,0.028717875,U0.6R1.5dRatio0.45Case,500000,FALSE
0,0.568116022,0.003202343,0.001418499,0.009137983,0.006960162,0.00097,1000,0,0,0.003,0.15,1.00E-05,0.000159654,0.05768935,3.51307106,13.24376811,0.002491121,0.00269077,0.002807797,0.0031224,0.003605692,0.004146531,0.012496182,U0.15R0.7dRatio0.65Case,453000,TRUE
0,0.552019397,0.003084299,0.000700388,0.007448597,0.006121218,0.00097,1000,0,0,0.003,0.6,1.00E-05,0.118500456,0.262713313,1.086662531,0.168761449,0.002701541,0.003354526,0.004018371,0.006692018,0.009533661,0.011274617,0.021662027,U0.6R0.05dRatio0.65Case,500000,FALSE
0,0.568116022,0.003202343,0.001418499,0.009137983,0.006960162,0.00112,1000,0,0,0.003,1.2,1.00E-05,0.009411757,0.240333319,1.991968274,3.698707688,0.00313958,0.003569815,0.003857733,0.004793097,0.006682595,0.008265174,0.018694073,U1.2R0.7dRatio0.75Case,500000,TRUE
0,0.647791265,0.003541811,0.00340988,0.014642073,0.009931224,0.00112,1000,0,0,0.003,1.2,1.00E-05,0.034848236,0.335142821,1.806881428,2.918058343,0.003183275,0.003704452,0.004074686,0.005449265,0.008007161,0.009841326,0.021364669,U1.2R1.5dRatio0.75Case,500000,TRUE
0,0.552019397,0.003084299,0.000700388,0.007448597,0.006121218,0.00067,1000,0,0,0.003,1.2,1.00E-05,0.52296567,0.596745849,0.911313057,0.676776665,0.010243698,0.013779737,0.015108492,0.017596035,0.020061666,0.021741279,0.034264093,U1.2R0.05dRatio0.45Case,500000,FALSE
0,0.647791265,0.003541811,0.00340988,0.014642073,0.009931224,0.00097,1000,0,0,0.003,0.6,1.00E-05,0.071157157,0.289248854,1.41815722,1.136360475,0.002644139,0.003116871,0.003449034,0.004933557,0.007446387,0.009170477,0.02020105,U0.6R1.5dRatio0.65Case,500000,FALSE
0,0.647791265,0.003541811,0.00340988,0.014642073,0.009931224,0.00082,1000,0,0,0.003,1.2,1.00E-05,0.672910094,0.804076135,1.16752553,1.577055674,0.007783377,0.01346703,0.015404864,0.018908398,0.022199309,0.024256325,0.039266571,U1.2R1.5dRatio0.55Case,500000,FALSE
0,0.559417415,0.003130479,0.000830454,0.007571715,0.006170591,0.00112,1000,0,0,0.003,0.15,1.00E-05,0.000379343,0.077109724,2.639289618,6.886752284,0.003058605,0.00336977,0.003567794,0.004109261,0.005024795,0.005935184,0.01429766,U0.15R0.3dRatio0.75Case,464000,TRUE
0,0.558737285,0.003130137,0.000884223,0.00748849,0.006116417,0.00097,1000,0,0,0.003,0.15,1.00E-05,0.000323272,0.082799502,2.601462841,6.786839367,0.002531146,0.002772267,0.002912144,0.003319201,0.004101318,0.005013472,0.013658374,U0.15R0.075dRatio0.65Case,481000,TRUE
0,0.568116022,0.003202343,0.001418499,0.009137983,0.006960162,0.00112,1000,0,0,0.003,0.6,1.00E-05,0.000345171,0.08384674,3.240402699,11.07285918,0.003013538,0.003277975,0.003428975,0.003852427,0.004544919,0.005304318,0.013808816,U0.6R0.7dRatio0.75Case,471000,TRUE
0,0.55993711,0.003122131,0.001179863,0.007517289,0.006162318,0.00082,1000,0,0,0.003,0.15,1.00E-05,0.075759053,0.173739508,1.360114217,1.229716468,0.002027443,0.002468538,0.002955239,0.005078189,0.007437301,0.00888011,0.017569097,U0.15R0.15dRatio0.55Case,500000,FALSE
0,0.55993711,0.003122131,0.001179863,0.007517289,0.006162318,0.00082,1000,0,0,0.003,0.3,1.00E-05,0.142240271,0.240810975,1.077711463,0.296294908,0.002117066,0.002792538,0.003760118,0.006472942,0.009102317,0.010690002,0.020765177,U0.3R0.15dRatio0.55Case,500000,FALSE
0,0.568116022,0.003202343,0.001418499,0.009137983,0.006960162,0.00082,1000,0,0,0.003,0.15,1.00E-05,0.022687212,0.147103667,1.68595469,2.166484501,0.001994289,0.002293708,0.00251005,0.003426094,0.005272413,0.0066711,0.015678467,U0.15R0.7dRatio0.55Case,500000,TRUE
