,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,nu,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.423633276,0.003447549,0.001096547,0.007309623,0.00245688,0.0009,2000,0,0,0.0033,0.25,1.00E-05,0.11925574,0.20594108,1.129926801,0.53002431,0.002313574,0.002951858,0.003556124,0.005289172,0.007079605,0.008196382,0.015277765,stdR0.25D0.33R0.75dRatio0.55Case,407000,FALSE
0,0.245729716,0.006719577,0.000996839,0.004939355,0.002357328,0.00198,2000,0,0,0.0066,0.25,1.00E-05,0.005478216,0.08522499,2.39819169,5.420088869,0.004536144,0.00491,0.005108937,0.005616557,0.006412836,0.007227618,0.014685064,stdR0.25D0.66R0.5dRatio0.6Case,293000,TRUE
0,0.40647114,0.007064806,0.003267715,0.009523487,0.00486657,0.00198,2000,0,0,0.0066,0.25,1.00E-05,0.001472668,0.055884596,3.563469648,13.33764846,0.004520241,0.004872533,0.005050221,0.005464417,0.006011972,0.006496162,0.013061187,stdR0.5D0.66R1dRatio0.6Case,295000,TRUE
0,0.428908056,0.003377598,0.000540567,0.005651993,0.003851059,0.0009,2000,0,0,0.0033,0.25,1.00E-05,0.12795117,0.20947526,1.126178384,0.582982348,0.002316122,0.002977317,0.003588039,0.005199458,0.006856397,0.007896977,0.015076063,stdR0.5D0.33R0.5dRatio0.55Case,462000,FALSE
0,0.601643278,0.003584991,0.002076604,0.010327358,0.008382948,0.0009,2000,0,0,0.0033,0.25,1.00E-05,0.021841653,0.1703647,1.651410699,1.980684871,0.002141683,0.002401239,0.002575004,0.003170279,0.004308408,0.005269588,0.012471313,stdR1.25D0.33R0.5dRatio0.55Case,392000,TRUE
0,0.477826569,0.006913417,0.001884772,0.010009957,0.007777905,0.00165,2000,0,0,0.0066,0.25,1.00E-05,0.12626606,0.22637807,1.150555372,0.509910634,0.00399094,0.004504438,0.004836194,0.005866662,0.007330098,0.008455367,0.016586958,stdR1.25D0.66R0.5dRatio0.5Case,386000,FALSE
0,0.620253589,0.007346526,0.004650733,0.01432115,0.012502986,0.00214,2000,0,0,0.0066,0.25,1.00E-05,0.000920386,0.017930726,6.790327072,52.54771017,0.004508593,0.004756978,0.004903609,0.005237033,0.005608514,0.005882414,0.008991951,stdR1.75D0.66R1dRatio0.65Case,403000,TRUE
0,0.370115499,0.003364153,0.00050947,0.004889239,0.002356639,0.00107,2000,0,0,0.0033,0.25,1.00E-05,0.003054648,0.11069065,2.01482749,3.860755139,0.002829957,0.003155069,0.003369716,0.004073076,0.005389932,0.006428324,0.013626831,stdR0.25D0.33R0.5dRatio0.65Case,324000,TRUE
0,0.513180435,0.00707518,0.003241567,0.010550998,0.008590453,0.00165,2000,0,0,0.0066,0.25,1.00E-05,0.16241713,0.24478297,1.055057168,0.331721606,0.004158041,0.004734534,0.005114255,0.00616239,0.007591054,0.008633649,0.016132246,stdR1.25D0.66R0.75dRatio0.5Case,431000,FALSE
0,0.386318219,0.006793384,0.001251575,0.007147503,0.00533141,0.00214,2000,0,0,0.0066,0.25,1.00E-05,0.001906164,0.041691545,4.07451582,17.81555481,0.004614883,0.004988394,0.005170399,0.005574598,0.006065461,0.006454365,0.012011682,stdR0.75D0.66R0.5dRatio0.65Case,307000,TRUE
0,0.347060472,0.006793335,0.001205106,0.00600895,0.004634131,0.00214,2000,0,0,0.0066,0.25,1.00E-05,0.001868294,0.032887276,4.925100327,27.12651845,0.004583963,0.004918805,0.005088784,0.005473286,0.005911367,0.006253274,0.011101654,stdR0.75D0.66R0.25dRatio0.65Case,333000,TRUE
