,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,nu,Fluid_Velocity,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.0005,1000,0,0,0.002,1.00E-05,0.01,0.001463132,0.086409651,2.496854067,6.304777041,0.001216133,0.001389427,0.0015139,0.00209066,0.00352499,0.004706962,0.012580119,T.2D0.1d.1Case,500000,TRUE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.0033,1000,0,0,0.0165,1.00E-05,0.01,0.001549173,0.02146274,6.221611023,45.56435061,0.007050364,0.007470836,0.007696966,0.008199839,0.008761184,0.009183,0.014569354,T1.650D0.66d.66Case,424000,TRUE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00082,1000,0,0,0.0033,1.00E-05,0.01,0.162652701,0.227670833,1.037643075,0.493684038,0.002831828,0.005263232,0.006410297,0.008614284,0.010745061,0.012131931,0.02155435,T.33D0.33d.165Case,500000,FALSE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00054,1000,0,0,0.0099,1.00E-05,0.01,0.183961257,0.253473014,1.256049156,1.22554224,0.005982723,0.007636015,0.008375492,0.009936597,0.011589444,0.012753605,0.021556981,T.99D0.33d.1089Case,500000,FALSE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00165,1000,0,0,0.00495,1.00E-05,0.01,0.000309641,0.029395243,5.430266857,31.87023564,0.004048908,0.004336647,0.004486575,0.004844227,0.005330678,0.005733092,0.011778479,T.495D0.33d.33Case,351000,TRUE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00025,1000,0,0,0.001,1.00E-05,0.01,0.058620505,0.150058404,1.704494953,2.623608679,0.00084705,0.002001678,0.00289833,0.004897508,0.006915036,0.008183853,0.016529216,T.1D0.1d.05Case,500000,FALSE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00033,1000,0,0,0.0025,1.00E-05,0.01,0.077294692,0.153706163,1.714538336,2.803961993,0.001114977,0.00253744,0.003483528,0.005408921,0.007279415,0.0085026,0.01676412,T.25D0.1d.066Case,500000,FALSE
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.005,1000,0,0,0.025,1.00E-05,0.01,0.002112363,0.0288711,3.919922352,17.66863321,0.010715472,0.011371782,0.01172821,0.012532381,0.01348789,0.014205199,0.024084612,T2.5D1d1Case,500000,TRUE
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.0033,1000,0,0,0.015,1.00E-05,0.01,0.001632419,0.059203483,3.453281641,12.9158733,0.00715249,0.007621254,0.007868509,0.008439934,0.009121513,0.009672204,0.017265252,T1.5D1d.66Case,468000,TRUE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00016,1000,0,0,0.001,1.00E-05,0.01,0.196151003,0.281140327,2.351724148,13.18592081,0.004877739,0.008453671,0.009880076,0.012556478,0.015094042,0.016731205,0.028090554,T.1D0.1d.033Case,207000,FALSE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00165,1000,0,0,0.00825,1.00E-05,0.01,0.000234987,0.051124923,3.814443827,15.17675022,0.003740834,0.004056006,0.004213205,0.004583387,0.005120256,0.005659483,0.013437763,T.825D0.33d.33Case,367000,TRUE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.00108,1000,0,0,0.0198,1.00E-05,0.01,0.325189948,0.380599439,0.924529374,0.49361187,0.010283099,0.012408945,0.013302003,0.015154915,0.017125743,0.018496259,0.029104223,T1.98D0.66d.2178Case,500000,FALSE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.0033,1000,0,0,0.0132,1.00E-05,0.01,0.000867968,0.014955103,6.552812576,50.40522473,0.007006975,0.007390792,0.007596164,0.008082815,0.008640339,0.009048632,0.014116916,T1.32D0.66d.66Case,460000,TRUE
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.00165,1000,0,0,0.025,1.00E-05,0.01,0.391225398,0.43665269,0.763939142,0.3043867,0.012798198,0.015143291,0.016152873,0.018213118,0.020405904,0.021932312,0.033380311,T2.5D1d.33Case,500000,FALSE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00033,1000,0,0,0.001,1.00E-05,0.01,0.003827748,0.105173185,2.162862301,4.433670555,0.00090653,0.001070693,0.001205527,0.002073095,0.0040304,0.005411351,0.013884526,T.1D0.1d.066Case,500000,TRUE
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.0033,1000,0,0,0.025,1.00E-05,0.01,0.29574278,0.330494732,0.69623214,0.039470041,0.008661936,0.011133869,0.012299113,0.014545578,0.016754947,0.01821657,0.029113568,T2.5D1d.66Case,500000,FALSE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00082,1000,0,0,0.0066,1.00E-05,0.01,0.216376543,0.276486754,1.079278827,0.829573588,0.005495424,0.007539714,0.008425601,0.010286516,0.012173089,0.013472373,0.022926,T.66D0.33d.165Case,500000,FALSE
