,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,nu,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.0003,300,0,0,0.001,1.2,1.00E-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,U1.2C300dRatio0.6Case,0,-1
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.0004,300,0,0,0.001,0.3,1.00E-05,0.060029864,0.18403393,1.643077374,2.323962416,0.00160165,0.005469626,0.008155197,0.012973872,0.017179726,0.019728065,0.035487769,U0.3C300dRatio0.8Case,500000,FALSE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.0004,1500,0,0,0.001,0.6,1.00E-05,0.002614021,0.212753147,2.199122429,5.271061813,0.001127624,0.001307171,0.001440127,0.002180075,0.004143374,0.005562226,0.013931946,U0.6C1500dRatio0.8Case,500000,TRUE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.00035,1500,0,0,0.001,0.3,1.00E-05,0.001499047,0.135365382,2.095328808,4.213404851,0.000960115,0.0010955,0.001195604,0.001599162,0.002945679,0.004143328,0.011686526,U0.3C1500dRatio0.7Case,500000,TRUE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.0003,11000,0,0,0.001,0.075,1.00E-05,0.015827619,0.127498642,1.957035661,3.253190052,0.000744499,0.000825989,0.000876754,0.001022773,0.001301221,0.001600905,0.004853242,U0.075C11000dRatio0.6Case,178000,TRUE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.00035,300,0,0,0.001,0.3,1.00E-05,0.044719808,0.18794699,1.562743545,1.883121121,0.001336574,0.004595053,0.007052843,0.011900939,0.016233552,0.0188627,0.034114272,U0.3C300dRatio0.7Case,500000,FALSE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.0002,750,0,0,0.001,0.075,1.00E-05,0.02383812,0.130622938,1.742670536,2.513172986,0.000525874,0.000864993,0.001647678,0.004059213,0.006572507,0.008162124,0.017790811,U0.075C750dRatio0.4Case,500000,TRUE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.00025,750,0,0,0.001,0.3,1.00E-05,0.013072193,0.190025374,1.8415097,3.402306825,0.00071906,0.00133334,0.002440464,0.005586808,0.008512352,0.010257574,0.020632745,U0.3C750dRatio0.5Case,500000,TRUE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.0002,11000,0,0,0.001,0.075,1.00E-05,0.082562901,0.177533254,1.447396159,1.433298771,0.000533182,0.000686797,0.000796801,0.001143792,0.001673287,0.00208807,0.005508568,U0.075C11000dRatio0.4Case,211000,FALSE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.0002,300,0,0,0.001,0.6,1.00E-05,0.070804328,0.333144307,2.463765621,7.999191037,0.001256715,0.008208243,0.011588581,0.017512264,0.022407011,0.025352382,0.043011225,U0.6C300dRatio0.4Case,500000,FALSE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.0004,4500,0,0,0.001,1.2,1.00E-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,U1.2C4500dRatio0.8Case,0,-1
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.0002,750,0,0,0.001,0.15,1.00E-05,0.009965904,0.152533948,1.86905849,3.997723208,0.00054764,0.001046035,0.001971544,0.00466041,0.007415603,0.009101781,0.018930057,U0.15C750dRatio0.4Case,500000,TRUE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.0002,300,0,0,0.001,0.075,1.00E-05,0.016877295,0.121715672,1.868834257,3.07222143,0.000638711,0.002824043,0.004921418,0.009320953,0.013112883,0.015424991,0.029788121,U0.075C300dRatio0.4Case,500000,TRUE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.00035,300,0,0,0.001,0.15,1.00E-05,0.011586406,0.138723627,1.827546477,2.899528463,0.001236565,0.003009339,0.005098173,0.009593995,0.013667,0.016117016,0.030532062,U0.15C300dRatio0.7Case,500000,TRUE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.00025,4500,0,0,0.001,0.6,1.00E-05,0.166902825,0.337606698,1.765027165,3.56187393,0.00065003,0.000886706,0.001187607,0.002328423,0.003643419,0.00449834,0.010005103,U0.6C4500dRatio0.5Case,445000,FALSE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.0003,300,0,0,0.001,0.15,1.00E-05,0.025040114,0.147529706,1.748312116,2.518752196,0.001021964,0.004380913,0.006807924,0.01137884,0.015420213,0.01792233,0.032365651,U0.15C300dRatio0.6Case,500000,TRUE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.00025,11000,0,0,0.001,0.075,1.00E-05,0.047761776,0.151783049,1.682776451,2.187617532,0.000612508,0.000706948,0.000768934,0.000977087,0.001371437,0.001728922,0.004991665,U0.075C11000dRatio0.5Case,202000,FALSE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.0003,4500,0,0,0.001,1.2,1.00E-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,U1.2C4500dRatio0.6Case,0,-1
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.0004,11000,0,0,0.001,0.3,1.00E-05,0.001891813,0.12091618,2.449456453,6.173404085,0.001080157,0.001171891,0.001232242,0.001400526,0.001694311,0.001993623,0.005627284,U0.3C11000dRatio0.8Case,183000,TRUE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.00025,300,0,0,0.001,0.075,1.00E-05,0.0212074,0.12390811,1.974922895,3.910393982,0.000766716,0.002532434,0.004687596,0.009022314,0.013033911,0.015453603,0.029830552,U0.075C300dRatio0.5Case,500000,TRUE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.00025,300,0,0,0.001,0.3,1.00E-05,0.003351192,0.182587564,1.711749554,2.681776747,0.000945058,0.005082936,0.007818147,0.012692,0.016785788,0.019273384,0.034846631,U0.3C300dRatio0.5Case,500000,TRUE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.0004,11000,0,0,0.001,0.075,1.00E-05,0.001698927,0.095132843,2.465028286,5.633902464,0.001071601,0.001151199,0.001203486,0.001349603,0.001585475,0.00182278,0.004976485,U0.075C11000dRatio0.8Case,168000,TRUE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.00035,750,0,0,0.001,0.3,1.00E-05,0.004410974,0.164257184,1.856234074,3.178336028,0.00103402,0.001316963,0.001618949,0.003955049,0.006951428,0.008765744,0.018904046,U0.3C750dRatio0.7Case,500000,TRUE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.00035,300,0,0,0.001,0.6,1.00E-05,0.12573877,0.293052077,1.585434675,2.739361399,0.001527128,0.007038012,0.010254858,0.015858879,0.020408771,0.023062195,0.040715793,U0.6C300dRatio0.7Case,500000,FALSE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.0004,750,0,0,0.001,0.6,1.00E-05,0.030709222,0.241573438,1.892781615,4.318137669,0.00119551,0.001538598,0.001935241,0.004832386,0.008167733,0.010155334,0.021404629,U0.6C750dRatio0.8Case,500000,TRUE
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.0004,11000,0,0,0.001,1.2,1.00E-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,U1.2C11000dRatio0.8Case,0,-1
0,0.639433204,0.001106488,0.000741857,0.007623923,0.006175584,0.00025,1500,0,0,0.001,0.3,1.00E-05,0.039330624,0.20131819,1.646877766,2.475348083,0.000659755,0.000936906,0.001351073,0.003154412,0.005207632,0.006489166,0.014283874,U0.3C1500dRatio0.5Case,500000,TRUE
