,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,nu,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.408548009,0.008195763,0.001642427,0.007964055,0.006607742,0.004,1000,0,0,0.008,0.5,1.00E-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,U0.5D0.8d.8Case,12000,-1
0,0.586327661,0.002142402,0.001175689,0.007723451,0.006068459,0.001,1000,0,0,0.002,1,1.00E-05,0.008933743,0.19336161,2.247918606,5.342693179,0.002909049,0.003345139,0.003646435,0.004725768,0.006667831,0.008092036,0.017096759,U1D0.2d.2Case,500000,TRUE
0,0.645273437,0.001119683,0.001054275,0.00783448,0.006181341,0.00035,1000,0,0,0.001,0.25,1.00E-05,0.0016202,0.131081685,2.06795764,4.155855238,0.000990319,0.001184312,0.001345475,0.002323649,0.004564603,0.006040838,0.014664482,U0.25D0.1d.07Case,500000,TRUE
0,0.354043232,0.010363168,0.002879174,0.008152734,0.006779566,0.005,1000,0,0,0.01,0.5,1.00E-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,U0.5D1d1Case,15000,-1
0,0.645273437,0.001119683,0.001054275,0.00783448,0.006181341,0.0005,1000,0,0,0.001,0.25,1.00E-05,0.000353007,0.080939695,3.064380884,10.20020715,0.001387173,0.001561052,0.001671391,0.00203866,0.003028535,0.004156755,0.012484876,U0.25D0.1d.1Case,500000,TRUE
0,0.408548009,0.008195763,0.001642427,0.007964055,0.006607742,0.002,1000,0,0,0.008,0.5,1.00E-05,0.35470897,0.387915462,0.577124357,-0.246760928,0.007365307,0.010720352,0.012067885,0.014615944,0.017137443,0.018757618,0.030178949,U0.5D0.8d.40Case,500000,FALSE
0,0.354043232,0.010363168,0.002879174,0.008152734,0.006779566,0.0035,1000,0,0,0.01,0.1,1.00E-05,0.001223486,0.015827602,6.519496918,49.54216304,0.00751903,0.008045348,0.008338524,0.008980852,0.009701665,0.010237303,0.01573115,U0.1D1d.7Case,388000,TRUE
0,0.586327661,0.002142402,0.001175689,0.007723451,0.006068459,0.0007,1000,0,0,0.002,0.1,1.00E-05,0.000290664,0.080596283,2.566793919,6.720808692,0.001878961,0.002088133,0.002228304,0.002666925,0.003705063,0.00481178,0.013189964,U0.1D0.2d.14Case,459000,TRUE
0,0.354043232,0.010363168,0.002879174,0.008152734,0.006779566,0.0025,1000,0,0,0.01,0.05,1.00E-05,0.389609933,0.415199578,0.490256071,-0.361414384,0.008720233,0.011346035,0.012571407,0.015102505,0.017663487,0.019321159,0.031153426,U0.05D1d.5Case,500000,FALSE
0,0.408548009,0.008195763,0.001642427,0.007964055,0.006607742,0.0008,1000,0,0,0.008,0.1,1.00E-05,0.30987215,0.371275961,0.889239013,0.344290994,0.007512075,0.009936449,0.010948646,0.013081581,0.015227219,0.016722275,0.027379024,U0.1D0.8d.16Case,500000,FALSE
0,0.456937948,0.006162987,0.001253335,0.007898835,0.006451252,0.0021,1000,0,0,0.006,0.25,1.00E-05,0.001020584,0.034965828,4.71513319,23.63345157,0.004766509,0.005236324,0.005446029,0.005904326,0.006486858,0.006968741,0.014057127,U0.25D0.6d.42Case,384000,TRUE
0,0.456937948,0.006162987,0.001253335,0.007898835,0.006451252,0.0015,1000,0,0,0.006,0.1,1.00E-05,0.294250995,0.327967852,0.670989037,-0.131271896,0.007656092,0.010120669,0.011162511,0.013221675,0.015316263,0.016713476,0.026936142,U0.1D0.6d.30Case,500000,FALSE
0,0.645273437,0.001119683,0.001054275,0.00783448,0.006181341,0.0001,1000,0,0,0.001,0.5,1.00E-05,0.588550985,0.834531307,6.269931793,51.1368653,0.023114074,0.02563511,0.026817614,0.02924294,0.032662848,0.03502092,0.051018894,U0.5D0.1d.02Case,500000,FALSE
0,0.645273437,0.001119683,0.001054275,0.00783448,0.006181341,0.00035,1000,0,0,0.001,0.1,1.00E-05,0.001157957,0.097101003,2.344869375,5.299707984,0.000970147,0.001131705,0.001252133,0.00183076,0.003523866,0.004854356,0.013191346,U0.1D0.1d.07Case,500000,TRUE
0,0.645273437,0.001119683,0.001054275,0.00783448,0.006181341,0.00025,1000,0,0,0.001,1,1.00E-05,0.323376,0.555137098,1.989915609,5.041785794,0.000808055,0.004004383,0.006149708,0.009876821,0.013041201,0.014919836,0.026396998,U1D0.1d.05Case,500000,FALSE
0,0.456937948,0.006162987,0.001253335,0.007898835,0.006451252,0.003,1000,0,0,0.006,0.05,1.00E-05,0.000737223,0.008642529,8.351080894,81.05543387,0.006309007,0.006622187,0.006802261,0.007244229,0.007750407,0.008119661,0.013236674,U0.05D0.6d.6Case,491000,TRUE
0,0.645273437,0.001119683,0.001054275,0.00783448,0.006181341,0.0001,1000,0,0,0.001,0.05,1.00E-05,0.493785769,0.737731218,6.811105251,60.77345105,0.023043936,0.025841386,0.02716543,0.029892788,0.033322611,0.035668292,0.055686559,U0.05D0.1d.02Case,500000,FALSE
0,0.354043232,0.010363168,0.002879174,0.008152734,0.006779566,0.0035,1000,0,0,0.01,0.5,1.00E-05,0.000774998,0.011223227,8.027326584,73.3543748,0.007444271,0.007930279,0.008202331,0.008819834,0.009488338,0.009987807,0.015337877,U0.5D1d.7Case,406000,TRUE
0,0.645273437,0.001119683,0.001054275,0.00783448,0.006181341,0.0001,1000,0,0,0.001,0.1,1.00E-05,0.588550985,0.921098471,3.367086411,13.14931779,0.021367902,0.024338222,0.025918615,0.028492464,0.031587956,0.033454194,0.047868492,U0.1D0.1d.02Case,108000,FALSE
0,0.645273437,0.001119683,0.001054275,0.00783448,0.006181341,0.0001,1000,0,0,0.001,1,1.00E-05,0.588550985,0.862076461,5.750400066,43.84059956,0.023353256,0.026068713,0.02719229,0.029550311,0.032691316,0.035437924,0.060516458,U1D0.1d.02Case,500000,FALSE
0,0.408548009,0.008195763,0.001642427,0.007964055,0.006607742,0.002,1000,0,0,0.008,0.05,1.00E-05,0.262121737,0.304078221,0.738089979,-0.006471655,0.005527322,0.007780915,0.009028017,0.011523484,0.013994736,0.015576034,0.026590882,U0.05D0.8d.40Case,500000,FALSE
0,0.408548009,0.008195763,0.001642427,0.007964055,0.006607742,0.0008,1000,0,0,0.008,0.25,1.00E-05,0.338488191,0.393339753,0.793232083,0.104340789,0.008919671,0.011279746,0.012267204,0.014321247,0.016549401,0.018062447,0.029044066,U0.25D0.8d.16Case,500000,FALSE
0,0.586327661,0.002142402,0.001175689,0.007723451,0.006068459,0.0002,1000,0,0,0.002,0.05,1.00E-05,0.09680555,0.171210468,1.514142632,1.839339144,0.002138431,0.003976859,0.004840252,0.006598818,0.00839831,0.009585498,0.017679032,U0.05D0.2d.04Case,500000,FALSE
0,0.408548009,0.008195763,0.001642427,0.007964055,0.006607742,0.0028,1000,0,0,0.008,0.5,1.00E-05,0.001859366,0.030617017,5.149912834,29.24788744,0.006004396,0.006412123,0.006629941,0.007111338,0.00767202,0.008093376,0.013727531,U0.5D0.8d.56Case,435000,TRUE
0,0.408548009,0.008195763,0.001642427,0.007964055,0.006607742,0.002,1000,0,0,0.008,1,1.00E-05,0.44792518,0.486598998,0.392984509,-0.582771984,0.011487305,0.013999848,0.015129558,0.017498096,0.020026682,0.021714067,0.033998239,U1D0.8d.40Case,500000,FALSE
0,0.354043232,0.010363168,0.002879174,0.008152734,0.006779566,0.001,1000,0,0,0.01,0.25,1.00E-05,0.418419868,0.463344276,0.687912881,0.148956222,0.010304199,0.012988521,0.014142805,0.016435474,0.018822302,0.02049927,0.032219271,U0.25D1d.2Case,500000,FALSE
0,0.586327661,0.002142402,0.001175689,0.007723451,0.006068459,0.001,1000,0,0,0.002,0.5,1.00E-05,0.002450903,0.090197012,3.030487061,9.750948876,0.002794877,0.003092823,0.003275214,0.00380599,0.004754723,0.005744613,0.013865437,U0.5D0.2d.2Case,476000,TRUE
0,0.408548009,0.008195763,0.001642427,0.007964055,0.006607742,0.004,1000,0,0,0.008,0.05,1.00E-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,U0.05D0.8d.8Case,12000,-1
0,0.456937948,0.006162987,0.001253335,0.007898835,0.006451252,0.0006,1000,0,0,0.006,0.5,1.00E-05,0.323047131,0.384844333,0.787033737,0.082390664,0.00612711,0.009671959,0.010909959,0.013193239,0.015475754,0.016928701,0.027750066,U0.5D0.6d.12Case,500000,FALSE
0,0.456937948,0.006162987,0.001253335,0.007898835,0.006451252,0.003,1000,0,0,0.006,0.1,1.00E-05,0.00078397,0.007922643,8.977763176,94.18520645,0.006290284,0.006612103,0.006794669,0.007232713,0.007736637,0.008100896,0.013329592,U0.1D0.6d.6Case,500000,TRUE
0,0.586327661,0.002142402,0.001175689,0.007723451,0.006068459,0.0005,1000,0,0,0.002,0.25,1.00E-05,0.175871074,0.240607768,1.145045042,0.876977716,0.003653258,0.006127498,0.007201686,0.009216592,0.011199859,0.012490889,0.02146469,U0.25D0.2d.10Case,500000,FALSE
0,0.645273437,0.001119683,0.001054275,0.00783448,0.006181341,0.0005,1000,0,0,0.001,0.1,1.00E-05,0.000461654,0.064634696,3.026851416,9.573442,0.001381904,0.001553622,0.001663977,0.002015603,0.002867515,0.003869957,0.011709457,U0.1D0.1d.1Case,500000,TRUE
0,0.645273437,0.001119683,0.001054275,0.00783448,0.006181341,0.0001,1000,0,0,0.001,0.25,1.00E-05,0.584468961,0.792330682,6.494116306,54.60356932,0.022926001,0.026045544,0.027240111,0.030110415,0.033311888,0.035299831,0.052341655,U0.25D0.1d.02Case,500000,FALSE
0,0.586327661,0.002142402,0.001175689,0.007723451,0.006068459,0.0002,1000,0,0,0.002,0.25,1.00E-05,0.08342889,0.219839975,1.348237991,1.125332053,0.000759971,0.001773954,0.002939444,0.005623967,0.008132144,0.009655698,0.018940575,U0.25D0.2d.04Case,500000,FALSE
0,0.354043232,0.010363168,0.002879174,0.008152734,0.006779566,0.001,1000,0,0,0.01,0.05,1.00E-05,0.373283148,0.433394283,0.869896948,0.444492523,0.00978292,0.012187737,0.013296822,0.015554322,0.017931124,0.019462618,0.031026551,U0.05D1d.2Case,500000,FALSE
0,0.408548009,0.008195763,0.001642427,0.007964055,0.006607742,0.0028,1000,0,0,0.008,0.05,1.00E-05,0.001995259,0.032042503,5.040185452,28.62530425,0.006047965,0.006475262,0.006701229,0.007206289,0.007787044,0.008228466,0.013687069,U0.05D0.8d.56Case,396000,TRUE
0,0.354043232,0.010363168,0.002879174,0.008152734,0.006779566,0.005,1000,0,0,0.01,0.1,1.00E-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,U0.1D1d1Case,15000,-1
0,0.354043232,0.010363168,0.002879174,0.008152734,0.006779566,0.005,1000,0,0,0.01,0.05,1.00E-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,U0.05D1d1Case,15000,-1
0,0.456937948,0.006162987,0.001253335,0.007898835,0.006451252,0.0021,1000,0,0,0.006,0.05,1.00E-05,0.001024998,0.03598902,4.631506443,23.30171314,0.00476492,0.0052213,0.005422211,0.005877637,0.006447404,0.006911141,0.01383677,U0.05D0.6d.42Case,383000,TRUE
0,0.408548009,0.008195763,0.001642427,0.007964055,0.006607742,0.004,1000,0,0,0.008,1,1.00E-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,U1D0.8d.8Case,12000,-1
0,0.456937948,0.006162987,0.001253335,0.007898835,0.006451252,0.0006,1000,0,0,0.006,0.05,1.00E-05,0.229920015,0.305866748,1.026874185,0.486745408,0.006793951,0.008821272,0.009683193,0.011381999,0.013189018,0.014465519,0.024167252,U0.05D0.6d.12Case,500000,FALSE
0,0.456937948,0.006162987,0.001253335,0.007898835,0.006451252,0.0021,1000,0,0,0.006,1,1.00E-05,0.000878017,0.033059772,5.266407967,30.68191197,0.004730995,0.00517962,0.005372322,0.005803331,0.006345289,0.0067811,0.012972283,U1D0.6d.42Case,399000,TRUE
0,0.645273437,0.001119683,0.001054275,0.00783448,0.006181341,0.00035,1000,0,0,0.001,0.5,1.00E-05,0.022744576,0.224963531,2.078753948,5.504619155,0.001032775,0.001303967,0.001615226,0.003998202,0.006769746,0.008407558,0.017942135,U0.5D0.1d.07Case,500000,TRUE
0,0.408548009,0.008195763,0.001642427,0.007964055,0.006607742,0.0008,1000,0,0,0.008,1,1.00E-05,0.543841064,0.577873409,0.567082405,0.027819873,0.011899446,0.014396215,0.015458274,0.017693117,0.020099599,0.021765461,0.033706283,U1D0.8d.16Case,500000,FALSE
0,0.354043232,0.010363168,0.002879174,0.008152734,0.006779566,0.001,1000,0,0,0.01,1,1.00E-05,0.597842216,0.640139818,0.546670437,-0.089858561,0.013396847,0.016132696,0.017445045,0.020010941,0.022767131,0.02458354,0.038193967,U1D1d.2Case,500000,FALSE
0,0.354043232,0.010363168,0.002879174,0.008152734,0.006779566,0.0025,1000,0,0,0.01,0.1,1.00E-05,0.353067756,0.382927805,0.518459857,-0.397980955,0.007652064,0.01050881,0.011768321,0.014303608,0.016828255,0.018486393,0.030045893,U0.1D1d.5Case,500000,FALSE
