,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,Fluid_Velocity,nu,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00096,3200,0,0,0.0031,0,1.00E-06,0.000204087,0.04453758,4.135155678,18.10614957,0.002340519,0.00248178,0.002560575,0.002762186,0.003038954,0.003284135,0.007975259,nu1e-6C3200U0dRatio0.62Case,271000,TRUE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00049,9500,0,0,0.0031,0,1.00E-08,0.099170014,0.19309445,1.341328263,1.082562282,0.001254255,0.001461822,0.001578325,0.001894756,0.002369352,0.002763177,0.006246017,nu1e-8C9500U0dRatio0.32Case,240000,FALSE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00096,3200,0,0,0.0031,0,0.0001,0.000207623,0.039624907,4.487233162,21.67704138,0.00232955,0.002475193,0.002555897,0.002757974,0.003036579,0.003289336,0.007980345,nu1e-4C3200U0dRatio0.62Case,275000,TRUE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00065,9500,0,0,0.0031,0,1.00E-06,0.032147925,0.13077298,1.933816433,3.339766268,0.001522811,0.001664997,0.001743589,0.001958706,0.002327065,0.002688204,0.006278094,nu1e-6C9500U0dRatio0.42Case,197000,FALSE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.0008,500,0,0,0.0031,0,1.00E-08,0.10111567,0.17125,1.325125337,1.364938938,0.002259309,0.00465056,0.006449749,0.009819495,0.012772105,0.014588978,0.025986576,nu1e-8C500U0dRatio0.52Case,500000,FALSE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.0008,500,0,0,0.0031,0,0.0001,0.09406799,0.13845095,1.639245987,4.311232992,0.00506379,0.007439938,0.008505253,0.010661916,0.012859219,0.014303707,0.024852011,nu1e-4C500U0dRatio0.52Case,500000,FALSE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.0008,9500,0,0,0.0031,0,1.00E-06,0.002331963,0.071783096,3.124698162,9.886622768,0.001807107,0.001913787,0.001976319,0.002134213,0.002368405,0.002599483,0.006017354,nu1e-6C9500U0dRatio0.52Case,175000,TRUE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00111,3200,0,0,0.0031,0,1.00E-06,0.000886224,0.03197153,5.170067787,29.07235218,0.002435339,0.002669979,0.002770623,0.00298423,0.003240949,0.003444975,0.007273474,nu1e-6C3200U0dRatio0.72Case,301000,TRUE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.0008,3200,0,0,0.0031,0,0.01,0.65551037,1.1546707,10.28448677,159.5858111,0.007692844,0.009789782,0.010842004,0.012857062,0.014826152,0.016160756,0.027885222,nu1e-2C3200U0dRatio0.52Case,500000,FALSE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00065,9500,0,0,0.0031,0,1.00E-08,0.022960378,0.12752716,1.959805369,3.404433086,0.001518067,0.001660691,0.00173757,0.001947034,0.002312157,0.002679141,0.006322491,nu1e-8C9500U0dRatio0.42Case,198000,TRUE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00065,500,0,0,0.0031,0,1.00E-06,0.15200055,0.20984922,1.261879563,1.244536661,0.007200994,0.009873469,0.01099466,0.013322987,0.015666722,0.017254868,0.028275714,nu1e-6C500U0dRatio0.42Case,500000,FALSE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00049,3200,0,0,0.0031,0,1.00E-06,0.109723136,0.19148812,1.318434238,1.134966689,0.00157348,0.002061588,0.002369424,0.003150239,0.004078626,0.004738723,0.009719897,nu1e-6C3200U0dRatio0.32Case,443000,FALSE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00049,3200,0,0,0.0031,0,0.01,0.5696581,0.87041384,3.672679901,19.49293952,0.003208845,0.003703893,0.003944638,0.004530574,0.005319717,0.005965677,0.010743085,nu1e-2C3200U0dRatio0.32Case,391000,FALSE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.0008,500,0,0,0.0031,0,0.01,0.588551,0.8892192,4.118527412,23.0799174,0.023504746,0.02709576,0.029089876,0.033411992,0.037906235,0.041984529,0.0656478,nu1e-2C500U0dRatio0.52Case,500000,FALSE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.0008,3200,0,0,0.0031,0,0.0001,0.005911879,0.07714854,2.976899862,10.79965022,0.001850436,0.002011525,0.00210335,0.002367795,0.00285318,0.003374086,0.008626418,nu1e-4C3200U0dRatio0.52Case,296000,TRUE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.0008,9500,0,0,0.0031,0,0.0001,0.005975087,0.07128702,3.344815969,11.78446998,0.00180696,0.001916882,0.001979169,0.00213666,0.002368898,0.002589707,0.005720863,nu1e-4C9500U0dRatio0.52Case,171000,TRUE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00065,3200,0,0,0.0031,0,1.00E-06,0.06398617,0.15287638,1.596406102,2.166784209,0.001612658,0.001906165,0.002107104,0.002774358,0.003770357,0.004510256,0.009920478,nu1e-6C3200U0dRatio0.42Case,365000,FALSE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00065,3200,0,0,0.0031,0,1.00E-08,0.05637406,0.15174699,1.6331141,2.231677002,0.001588428,0.001853687,0.002036272,0.002648935,0.003606642,0.004351603,0.00977121,nu1e-8C3200U0dRatio0.42Case,352000,FALSE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00049,500,0,0,0.0031,0,1.00E-08,0.12703885,0.19940433,1.371582627,1.536964572,0.006425882,0.009244499,0.010360352,0.012584907,0.014804455,0.01633049,0.027156498,nu1e-8C500U0dRatio0.32Case,500000,FALSE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00111,9500,0,0,0.0031,0,0.0001,0.001303089,0.022840673,6.102092743,40.2808697,0.002306821,0.002417818,0.002487997,0.00265398,0.002841614,0.002980167,0.004915938,nu1e-4C9500U0dRatio0.72Case,262000,TRUE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00111,9500,0,0,0.0031,0,1.00E-08,0.001565946,0.022786822,6.072675705,39.71900967,0.002308651,0.002420848,0.002490185,0.002655922,0.002843926,0.002981188,0.004954691,nu1e-8C9500U0dRatio0.72Case,267000,TRUE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00111,3200,0,0,0.0031,0,0.0001,0.000805601,0.032258347,5.212846279,29.42383149,0.002444844,0.002678372,0.002777092,0.002991858,0.003249967,0.003454571,0.007180611,nu1e-4C3200U0dRatio0.72Case,295000,TRUE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.0008,500,0,0,0.0031,0,1.00E-06,0.1332898,0.19046679,1.169421792,0.90756231,0.003758771,0.007744164,0.009303428,0.012070133,0.01467664,0.016391652,0.028135629,nu1e-6C500U0dRatio0.52Case,500000,FALSE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00111,500,0,0,0.0031,0,1.00E-08,0.000179334,0.06837802,3.054198027,10.32134338,0.003071179,0.003444164,0.00367118,0.004363799,0.00589602,0.007488476,0.019357251,nu1e-8C500U0dRatio0.72Case,500000,TRUE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00111,9500,0,0,0.0031,0,0.01,0.044343166,0.11554083,17.98087883,505.327088,0.002315042,0.002408969,0.002464349,0.002603205,0.002766613,0.002884032,0.00448644,nu1e-2C9500U0dRatio0.72Case,391000,FALSE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00096,9500,0,0,0.0031,0,0.0001,0.001647566,0.03829846,4.633359909,22.48667918,0.002035891,0.002185306,0.002257471,0.002419386,0.002609,0.002759715,0.005284828,nu1e-4C9500U0dRatio0.62Case,206000,TRUE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00065,500,0,0,0.0031,0,0.0001,0.097635165,0.16784468,1.342159629,1.294975959,0.005573292,0.008240884,0.009407243,0.01177715,0.014112219,0.015637674,0.026411045,nu1e-4C500U0dRatio0.42Case,500000,FALSE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.00111,500,0,0,0.0031,0,0.0001,0.000855578,0.0764844,2.699767113,8.563181486,0.003103655,0.003503132,0.003771659,0.004652311,0.006526564,0.008167041,0.019618234,nu1e-4C500U0dRatio0.72Case,500000,TRUE
0,0.576619878,0.003246442,0.001285576,0.007856183,0.006333405,0.0008,3200,0,0,0.0031,0,1.00E-08,0.004269198,0.095932044,2.348381996,5.459665059,0.001855184,0.002017846,0.002111258,0.002386997,0.0029073,0.003477731,0.008975649,nu1e-8C3200U0dRatio0.52Case,319000,TRUE
