Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,nu,Fluid_Velocity,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged,Particle_Volume,Particle_Mass,particle_diameter_BY_pore_size,particle_diameter_BY_Thickness,particle_diameter_BY_sphere_diameter,pore_size_BY_sphere_diameter,thickness_BY_pore_size,U_scaled,AAND,AWND,Throat_Flux,log(nu),Volume_Fraction,Umedian_BY_Umean,ResTime,U,pore_size_std_BY_pore_size,sphere_size_std_BY_pore_size,D10,D25,D33,D50,D66,D75,D100,Clogging_Number
0.533070104,0.004142147,0.000943054,0.008592893,0.006741528,0.0015,12000,0,500000,0.004,1.00E-05,0.3,0.000814368,0.010642215,8.046560287,75.8190684,0.003108891,0.003217064,0.003285466,0.003462719,0.003673611,0.00382209,0.005165038,awE500000C12000D0.4dRatio0.75Case,3.06,1,1.41E-08,4.24E-05,0.72426208,0.75,0.174562863,0.241021679,0.965682773,8.45E-06,0,8503.401361,25699.78942,-5,0.466929896,0.076522416,1.3788,133.8807569,0.992057896,5.144960133,0.645033333,0.9254,1.107861538,1.63514359,2.532158974,3.42794359,14.94247949,0.011868251
0.533070104,0.004142147,0.000943054,0.008592893,0.006741528,0.0015,12000,0,100000,0.004,1.00E-05,0.3,0.000909706,0.011137307,8.05592823,77.76129972,0.003107743,0.003216187,0.003284442,0.003463319,0.003675263,0.003824368,0.005283931,awE100000C12000D0.4dRatio0.75Case,3.08,1,1.41E-08,4.24E-05,0.72426208,0.75,0.174562863,0.241021679,0.965682773,8.45E-06,0,1700.680272,25699.78942,-5,0.466929896,0.081680967,1.6668,133.8807569,0.992057896,5.144960133,0.650358974,1.00795641,1.259076923,2.169346154,4.276951282,6.308420513,21.81809487,0.1647914
0.533070104,0.004142147,0.000943054,0.008592893,0.006741528,0.0015,12000,0,1000,0.004,1.00E-05,0.3,0.000928928,0.011219794,7.996756077,73.71734942,0.003107692,0.003216706,0.00328566,0.003465872,0.003678679,0.0038289,0.005362178,awE1000C12000D0.4dRatio0.75Case,3,1,1.41E-08,4.24E-05,0.72426208,0.75,0.174562863,0.241021679,0.965682773,8.45E-06,0,17.00680272,25699.78942,-5,0.466929896,0.082793677,3,271.1281098,0.670460954,5.581248057,1.916933333,12.84192667,21.3516,37.37710667,52.07869,60.78001,110.5983167,1.421543479
0.533070104,0.004142147,0.000943054,0.008592893,0.006741528,0.0015,12000,0,50000,0.004,1.00E-05,0.3,0.001125889,0.011677979,7.680990696,67.98902963,0.003108649,0.003215889,0.003286018,0.003466405,0.003680367,0.003830424,0.005361781,awE50000C12000D0.4dRatio0.75Case,3,1,1.41E-08,4.24E-05,0.72426208,0.75,0.174562863,0.241021679,0.965682773,8.45E-06,0,850.3401361,25699.78942,-5,0.466929896,0.096411288,9.3,926.4028518,0.763722805,3.716720213,0.801468293,1.239414634,1.552717073,2.664031707,4.438965854,5.865580488,16.42433171,0.934205389
0.533070104,0.004142147,0.000943054,0.008592893,0.006741528,0.0015,12000,0,5000,0.004,1.00E-05,0.3,0.001002293,0.011373539,8.086215019,77.16753316,0.003107439,0.003216982,0.003285929,0.003466757,0.003679609,0.003830546,0.005374758,awE5000C12000D0.4dRatio0.75Case,3.01,1,1.41E-08,4.24E-05,0.72426208,0.75,0.174562863,0.241021679,0.965682773,8.45E-06,0,85.03401361,25699.78942,-5,0.466929896,0.088124989,0.0848,1.429689037,0.428677818,0.996663821,0.136473939,0.263889697,0.332413939,0.484799697,0.654904242,0.782727273,2.414955758,0.034992671
0.533070104,0.004142147,0.000943054,0.008592893,0.006741528,0.0015,12000,0,10000,0.004,1.00E-05,0.3,0.00080767,0.010775992,8.217683792,79.84315385,0.003106678,0.003218611,0.003288405,0.003468914,0.003682405,0.003833682,0.005368375,awE10000C12000D0.4dRatio0.75Case,2.97,1,1.41E-08,4.24E-05,0.72426208,0.75,0.174562863,0.241021679,0.965682773,8.45E-06,0,170.0680272,25699.78942,-5,0.466929896,0.074950872,0.882,41.58441039,0.186270436,0.956031694,0.186863694,0.342754777,0.42416879,0.620714013,0.888605096,1.131286624,3.544722293,0.169289699
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.00175,10000,100,0,0.005,1.00E-05,0.15,0.001216838,0.016117638,6.244185925,49.32507948,0.003634897,0.003774625,0.003861359,0.00408315,0.004340712,0.004523365,0.006488716,aaE100C10000D0.5dRatio0.7Case,2.97,1,2.24E-08,6.73E-05,0.679608483,0.7,0.22311909,0.328305334,0.970869262,5.29E-06,1.457725948,0,19253.69809,-5,0.519380742,0.075497291,1.176,46.84070382,0.44295661,2.173459245,0.666583929,0.851889286,0.965279464,1.266978571,1.702794643,2.091542857,8.714201786,0.005616103
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.00175,10000,1000,0,0.005,1.00E-05,0.15,0.001277498,0.016063841,6.23199892,46.49233475,0.003637361,0.003773897,0.003860739,0.004084093,0.004344541,0.004528351,0.006471129,aaE1000C10000D0.5dRatio0.7Case,2.87,1,2.24E-08,6.73E-05,0.679608483,0.7,0.22311909,0.328305334,0.970869262,5.29E-06,14.57725948,0,19253.69809,-5,0.519380742,0.07952631,1.5588,133.8807569,0.992057896,5.144960133,3.539966667,5.75236,7.192746667,11.28853333,17.13178,21.85916,60.36970667,0.046240292
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.00175,10000,5000,0,0.005,1.00E-05,0.15,0.001082279,0.015920179,6.177667618,47.23862159,0.00363863,0.003777307,0.003864333,0.004084176,0.00434116,0.004523847,0.006363346,aaE5000C10000D0.5dRatio0.7Case,2.99,1,2.24E-08,6.73E-05,0.679608483,0.7,0.22311909,0.328305334,0.970869262,5.29E-06,72.88629738,0,19253.69809,-5,0.519380742,0.067981585,0.1,0.967143897,0.225851698,0.65267793,4.926925455,6.412161818,7.046086061,8.367837576,9.76396303,10.7236503,18.34383515,7.349914121
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.002,5000,10000,0,0.005,1.00E-05,0.15,0.001038815,0.011226159,7.564688683,67.97315985,0.004156065,0.004315503,0.004414234,0.004669675,0.004967984,0.005179717,0.007213785,aaE10000C5000D0.5dRatio0.8Case,3.72,1,3.35E-08,0.000100531,0.77669541,0.8,0.254993246,0.328305334,0.970869262,1.21E-05,127.5510204,0,9626.849045,-5,0.519380742,0.092535212,1.665,35.33479007,0.458160358,1.214167413,0.195264646,0.364526768,0.443878788,0.623586364,0.844785859,1.023678788,3.600106061,0.012014382
