,0
views,0.21133794036459058
likes,0.19448161756964638
comment_count,0.18119120989770654
dislikes,0.1387109265349744
percent_likes,0.0352259687801515
likes/comments,0.026221985387242817
likes/dislikes,0.02057351197749873
Episode,0.020223743268462383
category_id_News and Politics,0.01543322856310583
category_id_Music,0.013185933684758282
Music,0.012676810692602642
percent_comments,0.011850149514728183
category_id_Comedy,0.010102877000548514
percent_dislikes,0.008621873164723754
2018,0.006676787302356119
video,0.006213532054488044
song,0.005747111438263894
food,0.0043823605855634615
music,0.004272706280896291
In,0.004114657881661491
Video,0.003608102617318176
TV,0.0028547781993508658
category_id_Sports,0.00269129549355569
Official,0.0026595210919820194
category_id_Travel and Events,0.0021113417023459237
street,0.0019620870974776296
1,0.0018656093830651545
movie,0.0018586724455012906
Facebook:,0.0015105100367324006
News,0.001501895767486158
Facebook,0.0014783362297049942
made,0.001444460670342282
songs,0.001431473209105062
like,0.001413560046667076
Get,0.0013139358614908348
videos,0.0012516524131442304
2,0.001237917311851694
vs,0.0012219226623150945
10,0.0012032764751300177
Production,0.0011574066012861707
episode,0.0011406308681747364
Twitter,0.0011361789879901303
best,0.001072987671603997
Twitter:,0.0010334533164382644
please,0.0010222903183842583
3,0.00100901113764778
All,0.000927403961634226
category_id_Shows,0.0009233674469085809
5,0.0009136699094215995
ON,0.0008369477186695402
use,0.0008356432795568915
channel,0.000767610366915739
family,0.000726394844041243
Best,0.0007201080946915943
To,0.0007074464490113008
TO,0.0006897314883341771
get,0.0006475726454897955
game,0.0006470933666539511
see,0.0006229648722420599
THE,0.0005520621101329909
got,0.0005418335781154217
Subscribe,0.0005317289273989421
world,0.000527477964675954
Late,0.0005223057212936574
show,0.0005099205195679506
Follow,0.00048374502092746267
Game,0.0004706218956310782
official,0.0004547735688123088
category_id_Science and Tech.,0.00044689744577083303
love,0.0004311684195466652
YouTube,0.0004276453170655007
MY,0.00041153810604046686
2017,0.0003996892009834574
NBA,0.0003909391614223609
category_id_Style,0.00039059635567550635
Show,0.0003901952951907045
people,0.0003886896625130789
make,0.00038537004077940655
Dial,0.0003827799361328648
Trump,0.0003826815816229993
More,0.00033233413765848904
know,0.00033134103154595343
episodes,0.0003256508758002019
around,0.00031890492268671876
Night,0.0003183696334361956
first,0.00028428028356309703
category_id_Entertainment,0.0002792356297923692
Watch,0.0002733454168702644
time,0.0002670718002081222
Real,0.00025688923659601215
new,0.0002418399857057524
full,0.00022111161112839931
Season,0.00020903701737292485
category_id_Vehicles,0.00020719231665741
much,0.00019846853729949397
back,0.0001966634555786396
Live,0.00019327453344882836
life,0.00019018364996437273
Full,0.0001751038528943702
via,0.00016938881587956245
Channel,0.00016898731143883064
every,0.00016668742520262945
latest,0.0001644535092651624
category_id_Gaming,0.00016257890570770168
take,0.00016142451134516415
even,0.00016015698000095412
live,0.0001566365183080828
pour,0.00014472736248159754
Instagram:,0.00014344308043568173
also,0.00012483893130696525
want,0.00011285540355741256
What,6.722905769716202e-05
category_id_Film and Animation,6.143804278568059e-05
find,6.119693261518712e-05
Kevin,6.111060278075805e-05
Kimmel,5.5530269352315136e-05
Subscribers,4.652684912759217e-05
Jimmy,4.629519750247873e-05
comments_disabled,3.967139306182768e-05
category_id_Pets and Animals,3.120253123942421e-05
Warner,2.1218343130331304e-05
category_id_Education,1.0417915410956932e-05
favorite,9.637656434878068e-06
code,6.194692791784613e-06
category_id_Movies,0.0
ratings_disabled,0.0
category_id_Peaple and Blogs,0.0
video_error_or_removed,0.0
category_id_Activism and Nonprofits,0.0
