,0
dislikes,0.23040524605648866
views,0.22118503102707243
likes,0.17299858104665344
comment_count,0.14727257316645467
percent_dislikes,0.027338130756530334
likes/dislikes,0.021232877252888298
percent_likes,0.01849338763734468
percent_comments,0.014102517868654425
4,0.008242669554766368
category_id_Music,0.008197238304428893
category_id_Comedy,0.007704860450441824
Twitter,0.006940014571703488
mexico,0.0060260412695394335
likes/comments,0.005269142610884848
Music,0.004799422950021852
Resumen,0.0047462347536149545
video,0.004678230424180237
5,0.0033475992512083243
1,0.003197733925964155
category_id_Style,0.0030040375497509945
oficial,0.002930070356606104
si,0.0028908608681479436
category_id_Sports,0.002796840304452464
category_id_News and Politics,0.002596935173914512
3,0.002574503063842994
dos,0.002473583407425156
Vs,0.0023904164227666162
Real,0.002364434839046201
ser,0.0021210461002499157
cosas,0.0019794954749488146
Barcelona,0.0019334014780319746
6,0.0019174113822328564
2017,0.0018869396079713896
Instagram:,0.0018229870329167907
vida,0.0016781638615473563
Luis,0.0016297480473104844
category_id_Peaple and Blogs,0.001625305331220059
Highlights,0.001612402913628179
Liga,0.0015643356285007922
Twitter:,0.0014983695254780385
7,0.0013866195840198964
8,0.0013275354362822503
2018,0.0012627404236667924
11,0.00126153538880506
Super,0.0012474898862786347
Mejores,0.0012414728734304126
MX,0.0011206139903757926
2,0.001101411622827411
quieres,0.0010803278404544325
todas,0.0010569753737044384
use,0.0010396989418762353
videos,0.000978237099551985
ver,0.0009770394950953216
redes,0.0009195174998098216
ball,0.0008389763332953628
cuenta,0.0008283832078372317
noticias,0.0007346345771469736
gusta,0.0007132527429132345
MIS,0.0007021334165599479
muchas,0.0006711855040033793
mas,0.0006688208218545928
like,0.0006618824011499249
Dragon,0.0006435904076554806
MI,0.0006158166335169017
hoy,0.0006102865156823193
canal,0.0005770155665645619
super,0.0005622338064211345
REDES,0.000556187394001072
hacer,0.0005468167679821706
vivo,0.0005030605552933391
Madrid,0.0004972446589967143
Azteca,0.0004943612965689635
10,0.00044923707618345967
liga,0.0004298178929266371
CON,0.00042951830668283493
ft.,0.0004219499738681965
Facebook:,0.0004137243139216757
familia,0.00039625867720602235
nuevo,0.00039371454987614606
mundo,0.00039016031617358717
Clausura,0.0003897889066859562
fichajes,0.00034817762556984595
completo,0.00034370434503425086
category_id_Entertainment,0.00033171733983514807
Rosa,0.0003302066470388846
mejor,0.0003281727588590768
CANAL,0.0003242306322518546
sociales,0.0003175424857578897
solo,0.00031695911713096293
olvides,0.000310640424035246
POR,0.00027356528290965775
programa,0.0002572443593445967
siempre,0.0002503157661747021
Nuevo,0.00024202080339386081
Dios,0.00023673814798953941
Guadalupe,0.00023549437612363318
amor,0.0002303818651579725
puede,0.0002043404717982482
draft,0.00017830510060826987
video_error_or_removed,0.00017028577810353606
category_id_Science and Tech.,0.0001658204445965541
ratings_disabled,0.00015904320141524322
mejores,0.0001435083569037765
capitulo,0.00014194472289213173
category_id_Travel and Events,0.00014046863925840452
HD,0.0001396350102507544
Capitulo,0.00013869722559189056
futbol,0.0001318267279374914
VS,0.00012424727357924706
VIDEO,0.00011302378611607423
parte,0.0001128837713335299
contenido,0.00011114267110419372
Creative,7.958250875545322e-05
category_id_Gaming,6.549573272847429e-05
azul,6.436465310353966e-05
Estados,6.19173774388341e-05
america,5.539403661420569e-05
category_id_Activism and Nonprofits,4.76345658284489e-05
puedes,4.4545021662936915e-05
category_id_Vehicles,3.692752356580161e-05
gran,3.344150129193718e-05
Parte,2.5897192521034006e-05
category_id_Film and Animation,2.242540241572386e-05
comments_disabled,0.0
category_id_Pets and Animals,0.0
category_id_Shows,0.0
category_id_Education,0.0
primera,0.0
