,0
views,0.19406740709954995
likes,0.19320219541665973
dislikes,0.14421906472815918
comment_count,0.1104751451524537
percent_likes,0.033203492777413086
percent_dislikes,0.0323168104386967
likes/comments,0.027734923737890223
Follow,0.018557573003675606
likes/dislikes,0.017248282383663948
news,0.015140699536409494
percent_comments,0.013532423652591902
Subscribe,0.013505242988860938
Late,0.012821663176050766
Jimmy,0.010319053852773872
night,0.009369723476326816
show,0.009190599123768
Watch,0.007029665220763421
Show,0.006623819422877191
Music,0.006505057891781231
Official,0.006239929893039805
You,0.005459321152425559
2018,0.005216223956118623
Kimmel,0.0049578873361758105
category_id_Sports,0.004613521708816903
YouTube,0.0035134782803027623
2017,0.0033604813832481773
Live,0.0027302786693257208
watch,0.0024248951597626084
new,0.002413761450839626
time,0.002397490887595396
category_id_Music,0.0023428815117065033
latest,0.0023189586195441485
live,0.002176574395165187
2,0.0021602749071559773
category_id_Film and Animation,0.002122341722419747
category_id_News and Politics,0.002116209970160491
videos,0.0021143254326853674
music,0.0020958218867223937
CBS,0.002017462050888585
10,0.0019833839259981692
use,0.0018263929887018036
More,0.001775615431562958
NEW,0.001678044614137029
take,0.001675949149708493
ON,0.0016629949228974313
Facebook:,0.0016075197672148196
film,0.0015519670473047708
Star,0.0014625449236858167
one,0.0014423414032361972
even,0.0014260162371811662
News,0.0014209065351454477
New,0.0013386059731984295
make,0.0013368473732024823
back,0.0012979963396829689
channel,0.0012859601294841164
food,0.0012710953096663807
never,0.001198878906248193
everything,0.0011740448410235956
also,0.001158774224308936
exclusive,0.0011216047970052181
code,0.0010896303972018737
get,0.0010538325552805104
vs,0.0010197386691432073
This,0.0009668993132114373
Me,0.0009489380638314557
love,0.0009483831833526004
go,0.0009245220461237067
available,0.000916965649822296
good,0.0008680825553198293
THE,0.000842779850085486
think,0.000825473294303308
life,0.0008215756475958271
give,0.0007988690235235101
like,0.0007647814525182453
movie,0.0007555911980089181
Instagram:,0.0007524763529251205
first,0.0007467620969995976
Twitter:,0.0007107282195042651
favorite,0.000703279353800071
last,0.0006880657156555113
world,0.0006852784193519574
full,0.0006263577755241207
episode,0.000610862288312507
best,0.0005791311639684386
way,0.0005663156310593359
official,0.0005213678138230081
people,0.0004822892169361096
John,0.00046086279999162864
every,0.0004602304014992192
things,0.00042954561097992023
want,0.0004224619981407828
would,0.00041723945764786917
Trailer,0.00039916471778297556
comments_disabled,0.0003983855857054843
look,0.00038266152670857716
Warner,0.0003585135858385565
Night,0.00034765061280675024
ratings_disabled,0.00034533720568416515
makeup,0.0003449846512761484
category_id_Style,0.00033185513820992347
Voice,0.0003228748576653738
category_id_Gaming,0.00031501074013985604
category_id_Peaple and Blogs,0.00031439765671749473
How,0.00030378070534779387
need,0.00030229154466827836
iPhone,0.0002970160140814769
original,0.0002913127835934498
category_id_Entertainment,0.0002722230963381658
made,0.00027076907073168746
know,0.00026490920550628465
Production,0.00026389384265255913
category_id_Education,0.00025765547431566186
find,0.00025036628932851657
please,0.00022767157067327706
see,0.00021381930604515143
James,0.0001857318551044643
much,0.00016255049572443188
category_id_Comedy,0.00011830382018318924
category_id_Vehicles,0.0001165442575752677
MORE,0.00011282952286703211
next,8.486077806313143e-05
category_id_Science and Tech.,8.395921482691934e-05
category_id_Travel and Events,7.066916872198752e-05
category_id_Pets and Animals,2.624019461465218e-05
video_error_or_removed,0.0
Kevin,0.0
category_id_Shows,0.0
category_id_Activism and Nonprofits,0.0
