,0
views,0.15655340116455027
likes,0.15233965135826766
comment_count,0.12142205586401557
dislikes,0.10947090507108802
performing,0.02622404323284329
category_id_Music,0.02478066182075183
night,0.02413441063826565
Music,0.01847364914831849
percent_likes,0.01827167393328005
Jimmy,0.01715834792347986
likes/comments,0.015565503573889522
Live,0.015351280820546234
come,0.01476968031739844
Follow,0.01449104203959644
2018,0.01417639401591059
percent_comments,0.012873237193429905
Show,0.012393509130332363
show,0.012327594351077093
percent_dislikes,0.01063240838501507
Official,0.010022950958354567
likes/dislikes,0.00973167526565475
video,0.009654437129124076
channel,0.006912193021139006
Music:,0.0064592227391693
Watch,0.006305557551955451
go,0.005835001745226361
Tumblr:,0.005412152502519005
Subscribe,0.005392246118127735
latest,0.004703734439966308
live,0.004523669370486352
2,0.004377030571354436
celebrity,0.004323897379974191
3,0.004261636463236724
film,0.003930789929855023
Tonight,0.003904275085030409
talk,0.0038353215958082257
videos,0.003789718960374905
Kimmel,0.00375476310819115
watch,0.003506694893486758
category_id_Style,0.003167285790106567
James,0.0029259900269387185
Wars,0.0028947306181488905
music,0.002793251903957515
new,0.002750407302803602
know,0.0025902945695034305
Star,0.002477422202273707
Late,0.0023349953513000592
available,0.0023283258854980755
never,0.00231977240434674
take,0.0022961360272844935
way,0.002230445188584784
album,0.0020748044193417154
time,0.0020180328240871105
IN,0.0019482700465787298
TO,0.0019292294715082595
back,0.0018955880547227109
exclusive,0.0018767620498372644
say,0.001850810302405009
YouTube,0.001708845651052355
ON,0.001698254678628149
love,0.0016864297692100428
ft.,0.001658579947023824
see,0.001630305600229975
Last,0.0015950600663498476
every,0.0015492885819176707
MUSIC,0.001537555084992629
like,0.0015013806916583377
get,0.0014778139252031967
movie,0.0014750739249304757
favorite,0.0014661126645975056
world,0.0013982162387035225
think,0.0013574907600915989
little,0.0012869721042325667
use,0.0012695707132704531
Instagram:,0.0012087932609282164
life,0.0012046731081603154
category_id_Education,0.0011672076415285995
gonna,0.0010932485521516
New,0.0009980340645360606
vs,0.0009589773621487237
MY,0.0009490192893369249
Trailer,0.0009364251727195242
CBS,0.0009252802322999514
Twitter:,0.0009208232685213561
full,0.0008967660126373906
last,0.0008964255713877187
ever,0.0008905697596282533
2017,0.0008679821808933367
John,0.0008273583425679287
Movie,0.0008081231876712156
More,0.000774041499456693
comments_disabled,0.0007509749153909484
Facebook:,0.0007260578543794711
make,0.0006936661910161668
All,0.0006839756048212833
news,0.000629576480837478
wanna,0.000628309203823724
ratings_disabled,0.0006168429150260866
find,0.000612809158047527
first,0.0005900509239298123
look,0.0005898399656884765
category_id_Sports,0.0005822956329319347
category_id_Comedy,0.0005514102906620861
want,0.0005029352696374223
best,0.0004797054585110548
much,0.0004686213117745396
category_id_Gaming,0.00045878236890418387
David,0.0004245670294493174
Netflix,0.0003955990332241266
category_id_Film and Animation,0.0003850450336080058
category_id_Entertainment,0.0003460093965687662
category_id_Peaple and Blogs,0.0003191577780758434
category_id_News and Politics,0.00024045264704585835
star,0.0002259284997466579
VIDEO,0.00018753284750771927
official,0.00016717089376096705
TMZ,0.0001420279704340158
made,0.0001281159942138743
category_id_Science and Tech.,7.727962145174024e-05
THE,2.558755054663016e-05
category_id_Shows,0.0
Voice,0.0
category_id_Travel and Events,0.0
video_error_or_removed,0.0
category_id_Pets and Animals,0.0
category_id_Activism and Nonprofits,0.0
Night,0.0
category_id_Vehicles,0.0
